"rownum","Id","rid_8","rid_24","rid_40","[rid]_56","[rid]_72","[rid]_88","[rid]_104"
0,"Poisoner","","",410,[],[],[],[]
1,"VoidTouched","","",411,[],[],[],[]
2,"FrostTouched",6301,9,"",[1009],[],[],[]
3,"Freezer",6302,8,"",[],[],[],[]
4,"Raider","","",412,[],[],[],[]
5,"Deadeye","","",436,[],[],[],[]
6,"Bombardier","","","",[],[],[],[]
7,"FlameTouched",6297,9,"",[1008],[],[],[]
8,"Igniter",6298,8,"",[],[],[],[]
9,"ArcaneEnchanted","","",413,[],[9376],[],[]
10,"Echoist","","",414,[],[],[],[]
11,"StormTouched",6299,9,"",[1010],[],[],[]
12,"Shocker",6300,8,"",[],[],[],[]
13,"Bonebreaker","","","",[],[],[],[]
14,"Bloodletter","","","",[],[],[],[]
15,"BloodletterMagic","","",416,[],[],[],[]
16,"SteelAttuned",6303,9,"",[],[],[],[]
17,"Gargantuan","","","",[],[],[],[]
18,"Berserker","","",417,[],[],[],[]
19,"Defender","","","",[],[9500],[],[]
20,"Juggernaut","","",455,[],[],[],[]
21,"Vampiric","","",418,[],[],[],[]
22,"ChargeGenerator","","",419,[],[],[],[]
23,"SoulConduit","","","",[],[],[],[]
24,"Wealthy","","",420,[],[],[],[]
25,"Oppressor","","",433,[],[],[],[]
26,"Consecration","","",421,[],[],[],[]
27,"Rampage","","","",[],[],[],[]
28,"HeraldOfTheObelisk","","","",[],[9413],"[6283,6284]",[]
29,"UnionOfSouls","","","",[],[],[],[]
30,"Assassin","","",423,[],[],[],[]
31,"Trickster","","","",[1703],[],[],[]
32,"Necromancer","","",450,[],[],[],[]
33,"Rejuvenating","","","","[1699,1700]",[],[],[]
34,"Executioner","","","",[],[],[],[]
35,"Hexer","","","","[65,73]",[9408],[],[]
36,"FlaskDrain","","","",[],[],[],[]
37,"GraspingVines","","",425,[],[],[5143],[]
38,"TimeBubble","","","",[],[],[],[]
39,"Saplings","","","",[],[9476],[],[404]
40,"FrostWalker","","",426,[],[],[],[]
41,"GlacialCage",6307,10,"",[],[],[],[]
42,"SoulEater","","","",[],[],[],[]
43,"FlameWalker","","",427,[],[],[],[]
44,"CorpseExploder","","","",[],[],[],[]
45,"Prismatic",6415,9,"",[],[],[],[]
46,"VolatileFlameBlood","","","",[],[],[],[]
47,"MirrorImage","","","",[],[],[],[]
48,"LightningWalker","","",428,[],[],[],[]
49,"ManaDonut","","","",[],[],[],[]
50,"Corrupter","","",429,[],[],[],[]
51,"DivineTouched","","","",[],[],[],[]
52,"LivingCrystals","","",435,[],[9499],[],[]
53,"CycleOfElements","","","",[],[],[],[]
54,"VoodooDoll","","","",[],[],[],[]
55,"Lunaris","","","",[],[],[],[]
56,"Solaris","","","",[],[],[],[]
57,"Arakaali","","","",[],[],[],[]
58,"BrineKing","","","",[],[],[],[]
59,"Tukohama","","","",[],[],[],[]
60,"Abberath","","","",[],[],[],[]
61,"Shakari","","","",[],[],[],[]
62,"Innocence","","","",[],[],[],[]
63,"Kitava","","","",[],[],[],[]
