"rownum","Id","Projectile","Animation","bool_36","bool_37","i32_38","bool_42"
0,0,110,20,"","",0,""
1,1,110,20,"","",0,""
2,2,93,20,"","",0,""
3,3,112,20,"","",0,""
4,4,113,20,"","",0,""
5,5,121,20,"","",0,""
6,6,133,20,"","",0,""
7,7,154,20,"","",0,""
8,8,157,20,"","",0,""
9,9,165,20,"","",0,""
10,10,189,20,"","",0,""
11,11,164,20,"","",0,""
12,12,209,20,"","",0,""
13,13,210,20,"","",0,""
14,14,240,20,"","",0,""
15,15,243,20,"","",0,""
16,16,244,20,"","",0,""
17,17,257,20,"","",0,""
18,18,258,20,"","",0,""
19,19,285,20,"","",0,""
20,20,33,20,"","",0,""
21,21,302,20,"","",0,""
22,22,295,20,"","",0,""
23,23,306,20,"","",0,""
24,24,307,24,"","",0,""
25,25,314,24,"","",0,""
26,26,321,20,"","",0,""
27,27,346,21,"","",0,""
28,28,348,20,1,"",0,""
29,29,347,20,1,"",0,""
30,30,350,20,"","",0,""
31,31,352,20,"","",0,""
32,32,353,20,"","",0,""
33,33,354,20,"","",0,""
34,34,204,20,"","",0,""
35,35,348,21,1,"",0,""
36,36,347,21,1,"",0,""
37,37,383,20,"","",0,""
38,38,386,20,"","",0,""
39,39,387,20,"","",0,""
40,40,388,20,"","",0,""
41,41,383,20,"","",0,""
42,42,390,20,"","",0,""
43,43,394,20,"","",0,""
44,44,417,20,"","",0,""
45,45,389,20,"","",0,""
46,46,420,20,"","",0,""
47,47,421,24,"","",0,""
48,48,425,24,"","",0,""
49,49,426,20,"","",0,""
50,50,437,20,"","",0,""
51,51,460,20,1,"",0,""
52,52,494,20,"","",0,""
53,53,499,20,"","",0,""
54,54,498,20,"","",0,""
55,55,497,20,"","",0,""
56,56,495,20,"","",0,""
57,57,504,20,"","",0,""
58,58,518,24,"","",0,""
59,59,519,24,"","",0,""
60,60,520,20,"","",0,""
61,61,521,20,"","",0,""
62,62,522,20,1,"",0,""
63,63,527,20,"","",0,""
64,64,528,20,"","",0,""
65,65,529,20,"","",0,""
66,66,537,20,"","",0,""
67,67,537,24,"","",0,""
68,68,546,20,"","",0,""
69,69,547,20,"","",0,""
70,70,548,20,"","",0,""
71,71,549,20,"","",0,""
72,72,550,20,"","",0,""
