"rownum","rid_0","rid_16","i32_32"
0,22,9,0
1,22,12,0
2,22,11,0
3,22,7,0
4,21,9,0
5,21,12,0
6,21,11,0
7,21,7,0
8,6,9,0
9,6,12,0
10,6,11,0
11,6,7,0
12,5,9,0
13,5,12,0
14,5,11,0
15,5,7,0
16,17,9,0
17,17,12,0
18,17,11,0
19,17,7,0
20,2,9,0
21,2,12,0
22,2,11,0
23,2,7,0
24,41,9,0
25,41,12,0
26,41,11,0
27,41,7,0
28,43,9,0
29,43,12,0
30,43,11,0
31,43,7,0
32,44,9,0
33,44,12,0
34,44,11,0
35,44,7,0
36,45,9,0
37,45,12,0
38,45,11,0
39,45,7,0
40,29,9,0
41,29,12,0
42,29,11,0
43,29,7,0
44,11,9,0
45,11,12,0
46,11,11,0
47,11,7,0
48,20,9,0
49,20,12,0
50,20,11,0
51,20,7,0
52,13,9,0
53,13,12,0
54,13,11,0
55,13,7,0
56,53,9,0
57,53,12,0
58,53,11,0
59,53,7,0
60,54,9,0
61,54,12,0
62,54,11,0
63,54,7,0
64,58,9,0
65,58,12,0
66,58,11,0
67,58,7,0
68,59,9,0
69,59,12,0
70,59,11,0
71,59,7,0
72,38,9,0
73,38,12,0
74,38,11,0
75,38,7,0
76,56,9,0
77,56,12,0
78,56,11,0
79,56,7,0
80,30,9,0
81,30,12,0
82,30,11,0
83,30,7,0
84,0,9,0
85,0,12,0
86,0,11,0
87,0,7,0
88,4,9,0
89,4,12,0
90,4,11,0
91,4,7,0
92,3,9,0
93,3,12,0
94,3,11,0
95,3,7,0
96,7,9,0
97,7,12,0
98,7,11,0
99,7,7,0
100,9,9,0
101,9,12,0
102,9,11,0
103,9,7,0
104,12,9,0
105,12,12,0
106,12,11,0
107,12,7,0
108,33,9,0
109,33,12,0
110,33,11,0
111,33,7,0
112,15,9,0
113,15,12,0
114,15,11,0
115,15,7,0
116,16,9,0
117,16,12,0
118,16,11,0
119,16,7,0
120,19,9,0
121,19,12,0
122,19,11,0
123,19,7,0
124,23,9,0
125,23,12,0
126,23,11,0
127,23,7,0
128,25,9,0
129,25,12,0
130,25,11,0
131,25,7,0
132,27,9,0
133,27,12,0
134,27,11,0
135,27,7,0
136,28,9,0
137,28,12,0
138,28,11,0
139,28,7,0
140,32,9,0
141,32,12,0
142,32,11,0
143,32,7,0
144,34,9,0
145,34,12,0
146,34,11,0
147,34,7,0
148,36,9,0
149,36,12,0
150,36,11,0
151,36,7,0
152,37,9,0
153,37,12,0
154,37,11,0
155,37,7,0
156,39,9,0
157,39,12,0
158,39,11,0
159,39,7,0
160,40,9,0
161,40,12,0
162,40,11,0
163,40,7,0
164,42,9,0
165,42,12,0
166,42,11,0
167,42,7,0
168,47,9,0
169,47,12,0
170,47,11,0
171,47,7,0
172,48,9,0
173,48,12,0
174,48,11,0
175,48,7,0
176,50,9,0
177,50,12,0
178,50,11,0
179,50,7,0
180,51,9,0
181,51,12,0
182,51,11,0
183,51,7,0
184,52,9,0
185,52,12,0
186,52,11,0
187,52,7,0
188,57,9,0
189,57,12,0
190,57,11,0
191,57,7,0
192,1,9,0
193,1,12,0
194,1,11,0
195,1,7,0
196,31,9,0
197,31,12,0
198,31,11,0
199,31,7,0
200,10,9,0
201,10,12,0
202,10,11,0
203,10,7,0
204,8,9,0
205,8,12,0
206,8,11,0
207,8,7,0
208,14,9,0
209,14,12,0
210,14,11,0
211,14,7,0
212,60,9,0
213,60,12,0
214,60,11,0
215,60,7,0
216,18,9,0
217,18,12,0
218,18,11,0
219,18,7,0
220,24,9,0
221,24,12,0
222,24,11,0
223,24,7,0
224,26,9,0
225,26,12,0
226,26,11,0
227,26,7,0
228,49,9,0
229,49,12,0
230,49,11,0
231,49,7,0
232,55,9,0
233,55,12,0
234,55,11,0
235,55,7,0
236,35,9,0
237,35,12,0
238,35,11,0
239,35,7,0
240,46,9,0
241,46,12,0
242,46,11,0
243,46,7,0
