"rownum","Id","rid_4","rid_20","bool_36","bool_37","bool_38","bool_39","i32_40","bool_44"
0,0,"",272,1,1,"",1,0,1
1,1,74,"","",1,"",1,0,1
2,2,158,159,"",1,"",1,0,1
3,3,273,274,"",1,"",1,0,1
4,4,"","","",1,"",1,0,1
5,5,273,"","",1,"",1,0,1
6,6,273,"",1,1,"",1,0,1
7,7,1427,"","","","",1,0,1
8,8,2086,"","","",1,1,0,1
9,9,2386,"","","",1,1,0,1
10,10,2546,"","","",1,1,0,1
11,11,2523,"","","","",1,0,1
12,12,2895,"","","","",1,0,1
13,13,273,"","",1,"",1,0,1
14,14,3238,"","",1,"",1,0,1
15,15,3239,"","",1,"",1,0,1
16,16,3240,"","",1,"",1,0,1
17,17,3292,"","","","",1,0,1
18,18,3433,"","","","",1,-100,1
19,19,498,272,1,"","",1,0,1
20,20,1824,"","","","",1,0,1
21,21,3640,"","","","",1,0,1
22,22,3726,"","","","",1,0,1
23,23,3727,"","","","",1,0,1
24,24,3728,"","","","",1,0,1
25,25,3891,"","","",1,1,0,1
26,26,4239,"","","","",1,0,1
27,27,4356,"","","","",1,0,1
28,28,4777,"","","","",1,0,1
29,29,4932,"",1,"",1,1,0,1
30,30,4955,"","",1,"",1,0,1
31,31,5215,"","","",1,1,0,1
32,32,5214,"","","","",1,0,1
33,33,5218,"","","",1,1,0,1
34,34,5219,"","","",1,1,0,1
35,35,5217,"","","",1,1,0,1
36,36,5264,"",1,1,1,1,0,1
37,37,5265,"",1,1,1,1,0,1
38,38,5666,"","",1,1,1,0,1
39,39,5763,"","","","",1,0,1
40,40,6246,"","","",1,1,0,1
41,41,6286,"","","",1,1,0,1
42,42,6342,"","","",1,1,0,1
43,43,6205,"","","","",1,0,1
44,44,6853,"","","","",1,0,1
45,45,6857,"","","","",1,0,1
46,46,6963,"","","",1,1,0,1
47,47,"","","","",1,1,0,""
48,48,7391,"","","",1,1,0,1
49,49,3293,"","","","",1,0,1
50,50,7434,"","","",1,1,0,1
51,51,7626,"","",1,"",1,0,1
