"rownum","Id","Projectile","bool_20","bool_21","bool_22","i32_23"
0,0,13,"","","",0
1,1,31,"","","",0
2,2,74,"","","",0
3,3,89,"","","",0
4,4,74,"","","",0
5,5,95,"","","",0
6,6,20,"","","",0
7,7,98,"","","",0
8,8,117,"","","",0
9,9,60,"","","",0
10,10,125,"","","",0
11,11,126,"","","",0
12,12,140,"","","",0
13,13,160,"","","",0
14,14,204,"","","",0
15,15,228,"","","",0
16,16,281,"","","",0
17,17,282,"","","",0
18,18,288,"","","",0
19,19,210,"","","",0
20,20,269,"","","",0
21,21,308,"","","",0
22,22,121,"","","",0
23,23,270,"","","",0
24,24,327,"","","",0
25,25,326,"","","",0
26,26,333,"","","",0
27,27,383,"","","",0
28,28,404,"","","",0
29,29,413,"","","",0
30,30,433,"","","",0
31,31,442,"","","",0
32,32,443,"","","",0
33,33,444,"","","",0
34,34,445,"","","",0
35,35,446,"","","",0
36,36,447,"","","",0
37,37,449,"","","",0
38,38,452,"","","",0
39,39,542,"","","",0
40,40,543,"","","",0
41,41,544,"","","",0
42,42,574,"","","",0
43,43,564,"","","",0
44,44,587,"","","",0
45,45,510,1,"","",0
46,46,581,"","","",0
47,47,588,"","","",0
48,48,591,"","","",0
49,49,592,"","","",0
50,50,589,"","","",0
51,51,600,"","","",0
52,52,605,"","","",0
53,53,608,"","","",0
54,54,613,"","","",0
55,55,623,"","","",0
56,56,629,"","","",0
57,57,630,"","","",0
58,58,631,"","","",0
59,59,632,"","","",0
60,60,633,"","","",0
61,61,634,"","","",0
62,62,635,"","","",0
63,63,636,"","","",0
64,64,637,"","","",0
65,65,638,"","","",0
66,66,639,"","","",0
67,67,640,"","","",0
68,68,566,"","","",0
69,69,682,"","","",0
70,70,683,1,1,"",0
71,71,700,"","","",0
72,72,691,1,"","",0
73,73,707,"","","",0
74,74,687,"","","",0
75,75,690,1,"","",0
76,76,726,"","","",0
77,77,613,"","","",0
78,78,708,"","","",0
79,79,709,"","","",0
80,80,568,"","","",0
81,81,570,"","","",0
82,82,791,"","","",0
83,83,820,1,"","",0
84,84,800,"","","",0
85,85,821,1,"","",0
86,86,823,"","","",0
87,87,826,1,"","",10
88,88,827,1,"","",0
89,89,828,1,"","",0
90,90,60,"","","",0
91,91,834,"",1,"",0
92,92,837,"","","",0
93,93,838,1,"","",0
94,94,829,1,"","",0
95,95,845,1,"","",0
96,96,846,1,"","",10
97,97,848,1,"","",5
98,98,849,1,"","",5
99,99,864,1,"","",5
100,100,866,"","","",0
101,101,867,1,"","",0
102,102,871,1,"","",0
103,103,879,1,"","",0
104,104,865,1,"","",0
105,105,892,"","","",0
106,106,884,"","","",0
107,107,897,"","","",0
108,108,900,"","","",0
109,109,904,"","","",0
110,110,911,1,"","",0
111,111,915,"","","",0
112,112,918,"","","",0
113,113,919,1,"","",7
114,114,941,"","","",0
115,115,943,"","","",0
116,116,127,"","","",0
117,117,948,1,"","",60
118,118,228,"","","",0
119,119,949,1,"","",100
120,120,967,"","","",0
121,121,962,"",1,"",0
122,122,970,"","","",0
123,123,963,"",1,"",0
124,124,975,"","","",0
125,125,976,"","","",0
126,126,977,"",1,"",0
127,127,983,"","","",0
128,128,961,"",1,"",0
129,129,1015,"","","",0
130,130,1016,"","","",0
131,131,1017,"","","",0
132,132,1018,"","","",0
133,133,1015,"","","",0
134,134,1016,"","","",0
135,135,1019,"",1,"",0
136,136,1020,"",1,"",0
137,137,1036,"","","",0
138,138,1044,"","","",0
139,139,106,1,"","",0
140,140,1065,1,"","",0
141,141,1082,"","",1,0
142,142,1083,"","",1,0
143,143,1088,1,"","",0
144,144,1101,"","","",0
145,145,1102,"",1,"",0
146,146,1103,"",1,"",0
147,147,1111,"","","",0
148,148,1112,"","","",0
149,149,1113,"","","",0
150,150,1127,"","","",0
151,151,1135,"","","",0
152,152,1136,"","","",0
153,153,1140,1,"","",0
154,154,1155,1,"","",30
155,155,1157,"","","",0
156,156,1156,1,"","",30
157,157,21,"","","",0
158,158,623,"","","",0
159,159,708,"","","",0
160,160,1224,"",1,"",0
161,161,1229,"","","",0
162,162,1258,"",1,"",0
163,163,1261,"","","",0
164,164,1268,"",1,"",0
165,165,1269,"","","",0
166,166,1270,"","","",0
167,167,1273,1,"","",0
168,168,1274,"","","",0
169,169,1275,"","","",0
170,170,1276,"","","",0
171,171,1288,"","","",10
172,172,1289,"","","",0
173,173,1292,"","","",0
174,174,1300,1,"","",5
175,175,1301,1,"","",5
176,176,710,1,"","",-7
177,177,1307,"","","",0
178,178,1317,"","","",0
179,179,1329,1,"","",0
180,180,1340,"","","",0
181,181,1341,1,"","",0
