"rownum","Id","StatsKey","bool_24","StatMin","StatMax","bool_33"
0,"IsMagic",1943,"",1,1,""
1,"IsRare",1943,"",2,2,""
2,"IsUnique",1943,"",3,3,""
3,"IsTwinned",979,1,1,1,""
4,"IsUnidentified",1356,1,1,1,""
5,"IsCorrupted",2519,1,1,1,""
6,"Has4ExplicitMods",4488,1,4,4,""
7,"Has5ExplicitMods",4488,1,5,5,""
8,"Has8ExplicitMods",4488,1,8,8,""
9,"Has10TotalMods",6489,1,10,10,""
10,"Has3Leaguestones",5793,1,3,3,""
11,"HasZanaMod",7683,1,1,1,""
12,"HasCraftedMods",7684,1,1,1,""
13,"HasShaperInfluence",6828,"",1,1,""
14,"HasElderInfluence",6828,"",2,2,""
15,"HasShaperOrElderInfluence",6828,"",1,2,""
16,"IsWhiteTier",9978,"",1,5,""
17,"IsYellowTier",9978,"",6,10,""
18,"IsRedTier",9978,"",11,16,""
19,"IsRedorPurpleTier",9978,"",11,17,""
20,"IsTier15",9978,"",15,15,""
21,"IsTier16",9978,"",16,16,""
22,"IsTier17",9978,"",17,17,""
23,"HasSextantMod",5826,1,1,1,""
24,"HasNemesisSextant",4928,1,1,1,""
25,"HasGroundHasteSextant",5048,1,1,1,""
26,"HasNoReflectSextant",5074,1,1,1,""
27,"HasExtraTeamMonstersSextant",5082,1,1,1,""
28,"HasBodyguardsSextant",5111,1,1,1,""
29,"HasBarrelSextant1",5108,1,1,1,""
30,"HasBarrelSextant2",5135,1,1,1,""
31,"HasBarrelSextant3",5136,1,1,1,""
32,"HasBarrelSextant4",5137,1,1,1,""
33,"HasBarrelSextant5",5138,1,1,1,""
34,"HasBarrelSextant6",5139,1,1,1,""
35,"HasConvertOnDeathSextant",5081,1,1,1,""
36,"HasOnslaughtIfHitRecentlySextant",5031,1,1,1,""
37,"HasQualityAffectsRaritySextant",5066,1,1,1,""
38,"HasCorruptedDropsSextant",5068,1,1,1,""
39,"HasMinStrongboxRaritySextant",5134,1,1,1,""
40,"HasPossessedRustedScarabSextant",9304,1,1,1,""
41,"HasPossessedPolishedScarabSextant",9305,1,1,1,""
42,"HasPossessedGildedScarabSextant",9306,1,1,1,""
43,"HasPossessedWingedScarabSextant",9307,1,1,1,""
44,"HasPossessedUniqueDropSextant",9308,1,1,1,""
45,"HasPossessedMapDropSextant",9309,1,1,1,""
46,"HasShrineDurationSextant",5706,1,1,1,""
47,"HasCurrencyShardSextant",9313,1,1,1,""
48,"HasVaalMonstersSextant",9337,1,1,1,""
49,"HasBeyondSextant",9328,1,1,1,""
50,"HasTormentBetrayersSextant",9366,1,1,1,""
51,"HasTormentHereticsSextant",9367,1,1,1,""
52,"HasTormentGraverobbersSextant",9365,1,1,1,""
53,"HasCorruptEssenceSextant",9778,1,1,1,""
54,"HasTempests",3117,1,1,1,""
55,"HasLegionSextant",9325,1,1,1,""
