"rownum","Id","i32_8","[rid]_12"
0,"absolution_blast",0,[5548]
1,"vaal_absolution_blast",0,[9670]
2,"flame_golem",-4,[9234]
3,"flame_golem",-3,[9201]
4,"flame_golem",-2,[8088]
5,"flame_golem",-1,[4385]
6,"flame_golem",0,[4384]
7,"flame_golem",1,[4386]
8,"flame_golem_monster",1,[4399]
9,"lightning_golem",-4,[9236]
10,"lightning_golem",-3,[9203]
11,"lightning_golem",-2,[8090]
12,"lightning_golem",-1,[4420]
13,"lightning_golem",0,[4415]
14,"lightning_golem",1,[4416]
15,"ice_golem_monster",1,[4374]
16,"ice_golem",-4,[9233]
17,"ice_golem",-3,[9200]
18,"ice_golem",-2,[8087]
19,"ice_golem",-1,[4372]
20,"ice_golem",0,[4370]
21,"ice_golem",1,[4371]
22,"stone_golem",-4,[9237]
23,"stone_golem",-3,[9204]
24,"stone_golem",-2,[8091]
25,"stone_golem",-1,[4673]
26,"stone_golem",0,[4672]
27,"chaos_golem_monster",1,[4157]
28,"chaos_golem",-4,[9235]
29,"chaos_golem",-3,[9202]
30,"chaos_golem",-2,[8089]
31,"chaos_golem",-1,[4413]
32,"chaos_golem",0,[4411]
33,"bone_golem",0,[8055]
34,"bone_golem",1,[8401]
35,"bone_golem",2,[8844]
36,"bone_golem",3,[8856]
37,"agony_crawler",0,[7073]
38,"agony_crawler",1,[7073]
39,"agony_crawler",2,[7073]
40,"agony_crawler",3,[7073]
41,"agony_crawler",4,[7073]
42,"agony_crawler",5,[7073]
43,"agony_crawler",6,[7073]
44,"agony_crawler",7,[7073]
45,"agony_crawler",8,[7073]
46,"agony_crawler",9,[7073]
47,"agony_crawler",10,[7245]
48,"agony_crawler",11,[7075]
49,"agony_crawler",12,[7074]
50,"agony_crawler",13,[7559]
51,"agony_crawler",14,[7744]
52,"agony_crawler",15,[8115]
53,"agony_crawler",16,[8399]
54,"agony_crawler",17,[8402]
55,"agony_crawler",18,[8627]
56,"agony_crawler",19,[8842]
57,"agony_crawler",20,[8894]
58,"purity_champion",0,[1362]
59,"purity_champion",1,[1362]
60,"purity_champion",2,[1362]
61,"purity_champion",3,[1362]
62,"purity_champion",4,[1362]
63,"purity_champion",5,[1362]
64,"purity_champion",6,[1362]
65,"purity_champion",7,[1362]
66,"purity_champion",8,[1362]
67,"purity_champion",9,[1362]
68,"purity_champion",10,[7246]
69,"purity_champion",11,[1365]
70,"purity_champion",12,[1366]
71,"purity_champion",13,[7560]
72,"purity_champion",14,[7745]
73,"purity_champion",15,[8116]
74,"purity_champion",16,[8400]
75,"purity_champion",17,[8403]
76,"purity_champion",18,[8628]
77,"purity_champion",19,[8843]
78,"purity_champion",20,[8895]
79,"tornado",0,[9296]
80,"tornado",1,[9497]
81,"triggered_summon_spider",0,[5540]
82,"triggered_summon_spider",1,[5541]
83,"raging_spirit",0,[3200]
84,"raging_spirit",1,[3201]
85,"raging_spirit",2,[3202]
86,"raging_spirit",3,[3203]
87,"raging_spirit",4,[3204]
88,"raging_spirit",5,[8064]
89,"raging_spirit",6,[3205]
90,"raging_spirit",7,[9091]
91,"raging_spirit",8,[9319]
92,"raging_spirit",9,[9320]
93,"raging_spirit",10,[9541]
94,"raging_spirit_monster",0,[3208]
95,"raging_spirit_monster",1,[3209]
96,"raging_spirit_monster",2,[3211]
97,"raging_spirit_monster",3,[3212]
98,"raging_spirit_monster",4,[3213]
99,"raging_spirit_monster",5,[8064]
100,"raging_spirit_monster",8,[9319]
101,"raging_spirit_monster",9,[9320]
102,"raging_spirit_monster",10,[9541]
103,"triggerbot",0,[8057]
104,"dominating_blow",0,[1361]
105,"dominating_blow",1,[8640]
106,"vaal_dominating_blow",0,[9671]
107,"vaal_dominating_blow",1,[9672]
108,"guardian_relic_fire",0,[7083]
109,"guardian_relic_cold",0,[7084]
110,"guardian_relic_lightning",0,[7085]
111,"radiant_sentinel",0,[1363]
112,"radiant_sentinel_ruthless",0,[1364]
113,"voodoo_doll",0,[10161]
114,"sacred_wisp",0,[10172]
