"rownum","GrantedEffectsKey","string_16","bool_24","bool_25","bool_26","MiscAnimated","bool_43","bool_44","i32_45","bool_49","bool_50","bool_51","bool_52"
0,1534,"<lock>",1,1,1,17,"",1,0,"","",1,""
1,1535,"<lock>",1,1,1,18,"",1,0,"","",1,""
2,675,"<lock>",1,1,1,39,"",1,0,"","",1,""
3,676,"<lock>",1,1,1,39,"",1,0,"","",1,""
4,677,"<lock>",1,1,1,39,"",1,0,"","",1,""
5,1908,"<lock>",1,1,1,9,"",1,0,"","",1,""
6,1918,"<lock>",1,1,1,12,"",1,0,"","",1,""
7,1921,"<lock>",1,1,1,7,"",1,0,"","",1,""
8,1930,"<lock>",1,1,1,12,"",1,0,"","",1,""
9,1937,"<lock>",1,1,1,10,"",1,0,"","",1,""
10,1949,"<lock>",1,1,1,11,"",1,0,"","",1,""
11,1956,"<lock>",1,1,1,39,"",1,0,"","",1,""
12,1964,"<lock>",1,1,1,40,"",1,0,"","",1,""
13,1974,"<lock>",1,1,1,41,"",1,0,"","",1,""
14,2001,"<lock>",1,1,1,12,"",1,0,"","",1,""
15,6243,"<lock>",1,1,1,4,"",1,0,"","",1,""
16,2281,"<lock>",1,1,1,40,"",1,0,"","",1,""
17,2955,"<lock>",1,1,1,39,"",1,0,"","",1,""
18,2960,"<lock>",1,1,1,40,"",1,0,"","",1,""
19,2965,"<lock>",1,1,1,41,"",1,0,"","",1,""
20,3917,"<lock>",1,1,1,39,"",1,0,"","",1,""
21,3919,"<lock>",1,1,1,40,"",1,0,"","",1,""
22,3920,"<lock>",1,1,1,41,"",1,0,"","",1,""
23,3921,"<lock>",1,1,1,6,"",1,0,"","",1,""
24,3923,"<lock>",1,1,1,5,"",1,0,"","",1,""
25,1100,"<lock>","",1,"",57,"",1,0,"","",1,""
26,1124,"<lock>","",1,"",57,"",1,0,"","",1,""
27,1134,"<lock>","",1,"",7,"",1,0,"","",1,""
28,1142,"<lock>","",1,"",57,"",1,0,"","",1,""
29,1148,"<lock>","",1,"",57,"",1,0,"","",1,""
30,1163,"<lock>","",1,"",9,"",1,0,"","",1,""
31,1171,"<lock>","",1,"",19,"",1,0,"","",1,""
32,1176,"<lock>","",1,"",57,"",1,0,"","",1,""
33,2352,"<lock>","",1,"",57,"",1,0,"","",1,""
34,2366,"<lock>","",1,"",57,"",1,0,"","",1,""
35,2375,"<lock>","",1,"",57,"",1,0,"","",1,""
36,3932,"<lock>","",1,"",19,"",1,0,"","",1,""
37,5012,"<lock>","",1,"",57,"",1,0,"","",1,""
38,8958,"<lock>","",1,"",57,"",1,0,"","",1,""
39,5672,"<lock>","",1,1,14,"",1,0,1,"",1,""
40,5673,"<lock>","",1,1,14,"",1,0,1,"",1,""
41,5674,"<lock>","",1,1,14,"",1,0,1,"",1,""
42,9623,"Head_Attachment",1,1,1,13,"",1,0,"","",1,""
43,10074,"<lock>",1,1,1,12,"",1,0,"","",1,""
44,10063,"<lock>",1,1,1,11,"",1,0,"","",1,""
45,10056,"<lock>",1,1,1,5,"",1,0,1,"","",""
46,10057,"<lock>",1,1,1,5,"",1,0,1,"","",""
47,10058,"<lock>",1,1,1,5,"",1,0,1,"","",""
48,9983,"<lock>",1,1,1,5,"",1,0,1,"","",""
49,9984,"<lock>",1,1,1,5,"",1,0,1,"","",""
50,9985,"<lock>",1,1,1,5,"",1,0,1,"","",""
51,1914,"<lock>",1,1,1,9,"",1,0,"","",1,""
52,1945,"<lock>",1,1,1,10,"",1,0,"","",1,""
53,1931,"<lock>",1,1,1,12,"",1,0,"","",1,""
54,2004,"<lock>",1,1,1,12,"",1,0,"","",1,""
55,8598,"<lock>",1,1,1,39,"",1,0,"","",1,""
56,8599,"<lock>",1,1,1,40,"",1,0,"","",1,""
57,8600,"<lock>",1,1,1,41,"",1,0,"","",1,""
58,10164,"<lock>",1,1,1,9,"",1,0,"","",1,""
59,10254,"<lock>",1,1,1,19,"",1,0,"","",1,""
60,10378,"<lock>",1,1,1,20,"",1,0,"","",1,""
61,3319,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
62,1985,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
63,1986,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
64,1987,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
65,358,"R_Weapon",1,"","",23,1,"",1,"",1,"",1
66,359,"R_Weapon",1,"","",23,1,"",1,"",1,"",1
67,360,"R_Weapon",1,"","",23,1,"",1,"",1,"",1
68,654,"R_Weapon",1,"","",29,1,"",1,"",1,"",1
69,655,"R_Weapon",1,"","",29,1,"",1,"",1,"",1
70,656,"R_Weapon",1,"","",29,1,"",1,"",1,"",1
71,1065,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
72,1066,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
73,1067,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
74,2209,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
75,2210,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
76,2211,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
77,1896,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
78,1897,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
79,1898,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
80,1876,"R_Weapon",1,"","",28,1,"",1,"",1,"",1
81,1877,"R_Weapon",1,"","",28,1,"",1,"",1,"",1
82,1878,"R_Weapon",1,"","",28,1,"",1,"",1,"",1
83,5162,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
84,5163,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
85,5164,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
86,387,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
87,388,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
88,389,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
89,3880,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
90,3881,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
91,3882,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
92,10572,"<lock>",1,1,1,30,"",1,0,1,"","",""
93,10573,"<lock>",1,1,1,30,"",1,0,1,"","",""
94,10574,"<lock>",1,1,1,30,"",1,0,1,"","",""
95,3198,"<lock>",1,1,1,38,"",1,0,"","","",""
96,10800,"<lock>",1,1,1,42,"",1,0,"","","",""
97,11032,"<lock>",1,1,"",49,"",1,0,"","","",""
98,0,"<lock>",1,1,"",45,"",1,0,"","","",""
99,1,"<lock>",1,1,"",45,"",1,0,"","","",""
100,2,"<lock>",1,1,"",45,"",1,0,"","","",""
101,990,"<lock>",1,1,"",52,"",1,0,"","","",""
102,991,"<lock>",1,1,"",52,"",1,0,"","","",""
103,992,"<lock>",1,1,"",52,"",1,0,"","","",""
104,2253,"<lock>",1,1,"",51,"",1,0,"","","",""
105,2254,"<lock>",1,1,"",51,"",1,0,"","","",""
106,2255,"<lock>",1,1,"",51,"",1,0,"","","",""
107,11257,"<lock>",1,1,1,7,"",1,0,"","",1,""
108,1324,"<lock>",1,1,"",64,"",1,0,"","","",""
109,1325,"<lock>",1,1,"",64,"",1,0,"","","",""
110,1326,"<lock>",1,1,"",64,"",1,0,"","","",""
