"rownum","TaggedStat","rid_16","[rid]_32","rid_48","rid_64"
0,16100,24,[],"",""
1,16101,8992,[],"",""
2,16207,"",[461],"",""
3,16214,"",[464],"",""
4,16226,"",[],"",""
5,16227,"",[],"",""
6,16228,"",[],"",""
7,16229,"",[],"",""
8,16230,"",[],"",""
9,16231,"",[],"",""
10,16232,"",[],"",""
11,16289,10587,[],"",""
12,16290,10588,[],"",""
13,16291,16224,[],"",""
14,16292,1748,[],"",""
15,16293,7634,[],"",""
16,16213,"",[],"",""
17,16219,"",[],"",""
18,16220,"",[],"",""
19,16256,"",[],"",""
20,16257,"",[],"",""
21,16258,"",[],"",""
22,16259,"",[],"",""
23,16260,"",[],"",""
24,16261,"",[],"",""
25,16262,"",[],"",""
26,16263,"",[],"",""
27,16264,"",[],"",""
28,16265,"",[],"",""
29,16266,"",[],"",""
30,16267,"",[],"",""
31,16268,"",[],"",""
32,16269,"",[],"",""
33,16270,"",[],"",""
34,16271,"",[],"",""
35,16272,"",[],"",""
36,16273,"",[],"",""
37,16274,"",[],"",""
38,16275,"",[],"",""
39,16377,2396,[],"",""
