"rownum","Id","HideoutDoodadsKeys","BaseTypeHideoutDoodadsKey","i32_40","i32_44","bool_48","rid_49","i32_65","i32_69","i32_73","i32_77"
0,"Stash","[1355,1089,1091,1093,1095,1097,1099,1101,1103,1105,1107,1109,1111,1113,1115,1117,1119,1121]",1355,1586,63,"","",-16843010,-16843010,-16843010,-16843010
1,"GuildStash","[1356,1090,1092,1094,1096,1098,1100,1102,1104,1106,1108,1110,1112,1114,1116,1118,1120,1122]",1356,1586,63,"","",-16843010,-16843010,-16843010,-16843010
2,"Waypoint","[1357,1188,1233,1282,1284,1287,1283,1285,1286,1319,1329]",1357,1586,63,"","",-16843010,-16843010,-16843010,-16843010
3,"CraftingBench","[1342,1353,1380,1412,1474]",1342,1586,63,1,"",-16843010,-16843010,-16843010,-16843010
4,"MapDevice","[1340,1072,1073,1074,1075,1187,1218,1234,1272,1271,1301,1302,1330,1331,1332,1333,1403,1406,1273,1274,1413,1414,1415,1416,1448,1450,1451,1452,1473,1475,1509,1510,1517,1519,1518]",1340,350,7,"",106,-16843010,-16843010,-16843010,-16843010
5,"HarvestCraftingBench","[1149,1354]",1149,1027,39,"",124,-16843010,-16843010,-16843010,-16843010
6,"HeistLocker",[1151],1151,736,40,"","",1668,0,0,0
7,"ExpeditionLocker",[1152],1152,1093,41,"",168,-16843010,-16843010,-16843010,-16843010
8,"SanctumLocker",[1154],1154,1011,35,"","",-16843010,-16843010,-16843010,-16843010
9,"Recombinator",[1516],1516,1586,63,"","",-16843010,-16843010,-16843010,-16843010
