"rownum","MonsterVarietiesKey","BestiaryGroupsKey","BestiaryEncountersKey","bool_48","IconSmall","Icon","Boss_MonsterVarietiesKey","BestiaryGenusKey","bool_97","BestiaryCapturableMonstersKey","IsDisabled","i32_107","bool_111"
0,107,3,10,"","","","",0,"","","",1586,1
1,109,3,10,"","","","",0,"","","",1586,1
2,110,3,10,"","","","",0,"",1,"",1586,1
3,123,3,10,"","","","",0,"","","",1586,1
4,124,3,10,"","","","",0,"","","",1586,1
5,125,3,10,"","","","",0,"","","",1586,1
6,126,3,10,"","","","",0,"","","",1586,1
7,127,3,10,"","","","",0,"","","",1586,1
8,131,3,10,"","","","",0,"","","",1586,1
9,135,3,10,"","","",127,0,"",7,1,1586,""
10,142,3,10,"","","","",0,"","","",1586,1
11,143,3,10,"","","","",0,"","","",1586,1
12,227,1,6,"","","","",1,"","","",1586,1
13,228,1,6,"","","","",1,"","",1,1586,""
14,230,1,6,"","","","",1,"","","",1586,1
15,246,1,6,"","","","",1,"","",1,1586,""
16,247,1,6,"","","","",1,"","","",1586,1
17,248,1,6,"","","","",1,"",16,"",1586,1
18,249,1,6,"","","","",1,"",15,"",1586,1
19,274,1,6,"","","","",2,"","","",1586,1
20,289,1,6,"","","","",2,"","","",1586,1
21,290,1,6,"","","","",2,"","","",1586,1
22,292,1,6,"","","","",2,"","","",1586,1
23,293,1,6,"","","","",2,"","","",1586,1
24,294,1,6,"","","","",2,"",23,"",1586,1
25,295,1,6,"","","","",1,"","","",1586,1
26,296,1,6,"","","","",1,"","","",1586,1
27,318,2,7,"","","","",4,"","","",1586,1
28,319,2,7,"","","","",4,"","","",1586,1
29,320,2,7,"","","","",4,"","","",1586,1
30,322,2,7,"","","","",4,"","",1,1586,""
31,335,0,1,"","","","",3,"","",1,1586,""
32,338,0,1,"","","","",3,"","","",1586,1
33,342,0,1,"","","","",3,"","","",1586,1
34,343,0,1,"","","","",3,"","","",1586,1
35,346,0,2,"","","","",3,"","","",1586,1
36,349,0,2,"","","","",3,"","","",1586,1
37,351,0,1,"","","","",3,"","","",1586,1
38,353,0,1,"","","","",3,"",37,"",1586,1
39,359,0,1,"","","","",3,"","","",1586,1
40,361,0,1,"","","",359,3,"",39,1,1586,""
41,362,0,1,"","","",359,3,"",39,1,1586,""
42,363,0,1,"","","",359,3,"",39,1,1586,""
43,365,1,5,"","","","",5,"","","",1586,1
44,368,1,5,"","","","",5,"","","",1586,1
45,369,1,5,"","","","",5,"",44,"",1586,1
46,370,1,5,"","","","",5,"","","",1586,1
47,376,1,5,"","","","",5,"","","",1586,1
48,377,1,5,"","","","",5,"",47,"",1586,1
49,378,1,4,"","","","",28,"","","",1586,1
50,382,1,4,"","","","",28,"","","",1586,1
51,383,1,4,"","","","",28,"","","",1586,1
52,389,1,4,"","","","",28,"","","",1586,1
53,390,1,4,"","","","",28,"",52,"",1586,1
54,392,1,5,"","","","",5,"","","",1586,1
55,394,1,5,"","","","",5,"","","",1586,1
56,445,5,16,"","","","",6,"","","",1586,1
57,446,5,16,"","","","",6,"","",1,1586,""
58,453,5,16,"","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/AlbinoRhoa","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/AlbinoRhoa","",6,"","",1,1586,""
59,455,5,16,"","","","",6,"","","",1586,1
60,456,5,16,"","","","",6,"","","",1586,1
61,463,5,16,"","","","",6,"","","",1586,1
62,468,5,16,"","","","",6,"","","",1586,1
63,471,5,16,"","","","",6,"","",1,1586,""
64,474,5,16,"","","","",6,"","",1,1586,""
65,477,5,16,"","","","",6,"","","",1586,1
66,478,5,16,"","","","",6,"",65,"",1586,1
67,479,10,31,"","","","",7,"","","",1586,1
68,485,10,31,"","","","",7,"","",1,1586,""
69,487,10,31,"","","","",7,"","","",1586,1
70,488,10,31,"","","","",7,"","","",1586,1
71,489,10,31,"","","","",7,"","","",1586,1
72,490,10,31,"","","","",7,"","",1,1586,""
73,491,10,31,"","","","",7,"",72,1,1586,""
74,492,10,31,"","","",489,7,"",71,"",1586,1
75,493,10,31,"","","","",7,"","",1,1586,""
76,494,10,31,"","","","",7,"","",1,1586,""
77,496,10,31,"","","","",7,"",76,"",1586,1
78,499,10,31,"","","","",7,"",71,1,1586,""
79,500,10,31,"","","","",7,"",71,"",1586,1
80,507,10,31,"","","",479,7,"",67,"",1586,1
81,510,9,29,"","","","",8,"","",1,1586,""
82,511,9,29,"","","","",8,"",81,"",1586,1
83,516,9,29,"","","","",8,"","","",1586,1
84,517,9,29,"","","","",8,"","","",1586,1
85,518,9,29,"","","","",8,"","","",1586,1
86,519,9,29,"","","","",8,"","","",1586,1
87,523,9,29,"","","","",8,"","","",1586,1
88,524,9,29,"","","","",8,"","","",1586,1
89,526,9,29,"","","","",8,"",87,"",1586,1
90,528,10,32,"","","","",9,"","",1,1586,1
91,529,10,32,"","","","",9,"","",1,1586,1
92,530,10,32,"","","","",9,"","",1,1586,1
93,531,10,32,"","","","",9,"","",1,1586,1
94,532,10,32,"","","","",9,"","",1,1586,""
95,533,10,32,"","","","",9,"",94,"",1586,1
96,535,10,32,"","","","",9,"","",1,1586,1
97,536,10,32,"","","","",9,"","",1,1586,""
98,908,6,18,"","","","",10,"","","",1586,1
99,909,6,18,"","","","",10,"","","",1586,1
100,910,6,18,"","","","",10,"",99,"",1586,1
101,918,6,18,"","","","",10,"","","",1586,1
102,920,6,18,"","","","",10,"","",1,1586,""
103,922,6,18,"","","","",10,"","","",1586,1
104,923,6,18,"","","","",10,"",103,"",1586,1
105,925,6,18,"","","","",10,"","","",1586,1
106,927,6,18,"","","","",10,"","","",1586,1
107,931,9,29,"","","","",11,"","","",1586,1
108,932,9,29,"","","","",11,"","",1,1586,""
109,934,9,29,"","","","",11,"","",1,1586,""
110,935,9,29,"","","","",11,"","",1,1586,""
111,951,9,29,"","","",935,11,"",110,1,1586,""
