"rownum","Id","rid_4","rid_20","rid_36","i32_52","bool_56","bool_57","bool_58","bool_59","i32_60","i32_64","i32_68","bool_72","i32_73","bool_77","bool_78","rid_79","i32_95","f32_99","f32_103","f32_107","bool_111","rid_112","string_128"
0,0,119,20,458,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
1,1,129,20,517,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
2,2,130,20,522,0,"","","","",10,15,0,"",4,"","","",0,1,1,1,1,"",""
3,3,138,20,558,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
4,4,145,20,581,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
5,5,129,20,517,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
6,6,185,20,781,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
7,7,218,20,1025,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
8,8,290,20,1256,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
9,9,309,20,1388,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
10,10,315,31,1413,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
11,11,131,31,522,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
12,12,349,20,1546,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
13,13,356,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
14,14,357,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
15,15,375,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
16,16,375,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
17,17,379,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
18,18,391,24,1743,0,"","","",1,0,15,0,"",4,"","","",0,1,1,1,1,"",""
19,19,399,31,1751,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
20,20,376,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
21,21,377,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
22,22,401,20,1770,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
23,23,408,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
24,24,408,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
25,25,414,20,1817,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
26,26,415,20,1818,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
27,27,405,20,1795,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
28,28,380,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
29,29,402,20,1770,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
30,30,434,31,1892,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
