"rownum","rid_0","rid_16","rid_32","rid_48","rid_64","i32_80","i32_84","i32_88","i32_92"
0,8899,"",43,"",73,-1,0,0,0
1,6279,"",22,"",13,-1,0,5000,0
2,6280,"",22,"",13,-1,0,5000,0
3,8121,"",45,"","",0,0,1500,2500
4,8123,"",45,"","",0,0,1500,2500
5,8146,"",10,"","",0,0,1450,2500
6,8148,"",10,"","",0,0,1450,2500
7,8171,"",32,"","",0,0,2250,2500
8,8173,"",32,"","",0,0,2250,2500
9,8200,"",22,"","",0,0,1750,2500
10,8202,"",22,"","",0,0,1750,2500
11,9473,"","","","",0,0,0,3000
12,9463,"",24,"","",0,0,2000,1500
13,9460,"",33,"","",0,0,2720,1700
14,9465,"",22,"",34,-1,0,2850,2000
15,8901,"",73,"","",0,0,-1,0
16,9116,"","","",22,5000,0,0,0
17,6612,"","","",64,-1,0,0,400
18,148,"","","","",0,0,0,480
19,1399,"","","","",0,0,0,3000
20,1652,"","","","",0,0,0,2000
21,5670,"",32,"",51,0,0,1750,14000
