"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool_52","bool_53","bool_54","bool_55","bool_56","bool_57","MinAreaLevel","i32_62","MapFragmentLimit","bool_70","[rid]_71"
0,2844,[8423],"[1583,7005]",142,"","","","",1,"",1,100,1,"",[]
1,2845,[8423],"[1583,7005]",142,"","","","",1,"",1,100,1,"",[]
2,2846,[8423],"[1583,7005]",142,"","","","",1,"",1,100,1,"",[]
3,2847,[8423],"[1583,7005]",142,"","","","",1,"",1,100,1,"",[]
4,2849,[8424],[1583],142,"","","","",1,"",1,100,1,"",[]
5,2850,[8424],[1583],142,"","","","",1,"",1,100,1,"",[]
6,2851,[8424],[1583],142,"","","","",1,"",1,100,1,"",[]
7,2852,[8424],[1583],142,"","","","",1,"",1,100,1,"",[]
8,2859,[8427],[],142,"","","","",1,"",1,100,1,"",[]
9,2860,[8427],[],142,"","","","",1,"",1,100,1,"",[]
10,2861,[8427],[],142,"","","","",1,"",1,100,1,"",[]
11,2862,[8427],[],142,"","","","",1,"",1,100,1,"",[]
12,2864,[8428],[],142,"","","","",1,"",1,100,1,"",[]
13,2865,[8428],[],142,"","","","",1,"",1,100,1,"",[]
14,2866,[8428],[],142,"","","","",1,"",1,100,1,"",[]
15,2867,[8428],[],142,"","","","",1,"",1,100,1,"",[]
16,2869,[8429],[],142,"","","","",1,"",1,100,1,"",[]
17,2870,[8429],[],142,"","","","",1,"",1,100,1,"",[]
18,2871,[8429],[],142,"","","","",1,"",1,100,1,"",[]
19,2872,[8429],[],142,"","","","",1,"",1,100,1,"",[]
20,2874,[8430],[],142,"","","","",1,"",1,100,1,"",[]
21,2875,[8430],[],142,"","","","",1,"",1,100,1,"",[]
22,2876,[8430],[],142,"","","","",1,"",1,100,1,"",[]
23,2877,[8430],[],142,"","","","",1,"",1,100,1,"",[]
24,2879,[8431],[],142,"","","","","","",1,100,1,"",[]
25,3503,[18644],[7006],1,1,"","","","","",1,100,1,"",[1]
26,3504,[18645],[7006],1,1,"","","","","",1,100,1,"",[1]
27,3505,[18646],[7006],1,1,"","","","","",1,100,1,"",[1]
28,3506,[18647],"[7006,7144]",1,1,"","","","","",1,100,1,"",[1]
29,3507,[18648],[],24,1,"","","","","",1,100,5,"",[]
30,3508,[18649],[],25,1,"","","","","",1,100,1,"",[1]
31,3509,[18650],[],26,1,"","","","","",1,100,1,"",[]
32,3510,[18651],[],27,1,"","","","","",1,100,2,"",[]
33,3511,[18652],[],28,1,"","","","","",1,100,1,"",[]
34,3512,[18653],[],136,1,"","","","","",1,100,1,"",[]
35,3513,[18654],[7006],2,1,"","","","","",1,100,1,"",[1]
36,3514,[18655],[7006],2,1,"","","","","",1,100,1,"",[1]
37,3515,[18656],[7006],2,1,"","","","","",1,100,1,"",[1]
38,3516,[18657],"[7006,7145]",2,1,"","","","","",1,100,1,"",[1]
39,3517,[18658],[],29,1,"","","","","",1,100,1,"",[]
40,3518,[18659],[],30,1,"","","","","",1,100,5,"",[]
41,3521,[18660],[],31,1,"","","","","",1,100,3,"",[]
42,3520,[18661],[],32,1,"","","","","",1,100,1,"",[]
43,3519,[18662],[],33,1,"","","","","",1,100,1,"",[1]
44,3522,[18663],[7006],3,1,"","","","","",1,100,1,"",[1]
45,3523,[18664],[7006],3,1,"","","","","",1,100,1,"",[1]
46,3524,[18665],[7006],3,1,"","","","","",1,100,1,"",[1]
47,3525,[18666],"[7006,7146]",3,1,"","","","","",1,100,1,"",[1]
48,3526,[18667],[],3,1,"","","","","",1,100,1,"",[]
49,3527,[18668],[],101,1,"","","","","",1,100,3,"",[]
50,3528,[18669],[],102,1,"","","","","",1,100,1,"",[]
51,3529,[18670],[7006],0,1,"","","","","",1,100,1,"",[1]
52,3530,[18671],[7006],0,1,"","","","","",1,100,1,"",[1]
53,3531,[18672],[7006],0,1,"","","","","",1,100,1,"",[1]
54,3532,[18673],"[7006,7147]",0,1,"","","","","",1,100,1,"",[1]
55,3533,[18674],[7006],0,1,"","","","","",1,100,1,"",[1]
56,3534,[18675],[7006],0,1,"","","","","",1,100,1,"",[1]
57,3535,[18676],[7006],0,1,"","","","","",1,100,1,"",[1]
58,3536,[18677],[7006],0,1,"","","","","",1,100,1,"",[1]
59,3537,[18678],[],126,1,"","","","","",1,100,1,"",[]
60,3539,[18679],[],123,1,"","","","","",1,100,1,"",[]
61,3538,[18680],[],124,1,"","","","","",1,100,2,"",[]
62,3540,[18681],[],125,1,"","","","","",1,100,1,"",[1]
63,3541,[18682],[7006],4,1,1,"","","","",1,100,1,"",[1]
64,3542,[18683],[7006],4,1,1,"","","","",1,100,1,"",[1]
65,3543,[18684],[7006],4,1,1,"","","","",1,100,1,"",[1]
66,3544,[18685],"[7006,7148]",4,1,1,"","","","",1,100,1,"",[1]
67,3545,[18686],[7006],5,1,"",1,"","","",1,100,1,"",[1]
68,3546,[18687],[7006],5,1,"",1,"","","",1,100,1,"",[1]
69,3547,[18688],[7006],5,1,"",1,"","","",1,100,1,"",[1]
70,3548,[18689],"[7006,7149]",5,1,"",1,"","","",1,100,1,"",[1]
71,3549,[18690],[],20,1,1,"","","","",1,100,1,"",[]
72,3550,[18691],[],21,1,"",1,"","","",1,100,1,"",[]
73,3552,"[18692,18693,18694,18695]",[],22,1,"","","","",1,1,100,1,"",[]
74,3551,[18696],[],23,1,"","","","","",1,100,1,"",[]
75,3553,[18697],[7006],0,1,"","","","","",1,100,1,"",[1]
76,3554,[18698],[7006],0,1,"","","","","",1,100,1,"",[1]
77,3555,[18699],[7006],0,1,"","","","","",1,100,1,"",[1]
78,3556,[18700],"[7006,7150]",0,1,"","","","","",1,100,1,"",[1]
79,3557,[18701],[],122,1,"","","","","",1,100,1,"",[]
80,3558,[18702],[],120,1,"","","","","",1,100,1,"",[1]
81,3559,[18703],[],121,1,"","","","","",1,100,1,"",[]
82,3560,[18704],[7006],6,1,"","","","","",1,100,1,"",[1]
83,3561,[18705],[7006],6,1,"","","","","",1,100,1,"",[1]
84,3562,[18706],[7006],6,1,"","","","","",1,100,1,"",[1]
85,3563,[18707],"[7006,7151]",6,1,"","","","","",1,100,1,"",[1]
86,3564,[18708],[],70,1,"","","","","",1,100,5,"",[]
87,3566,[18709],[],71,1,"","","","","",1,100,1,"",[]
88,3565,[18710],[],72,1,"","","","","",1,100,5,"",[]
89,3567,[18711],[7006],7,1,"","","","","",1,100,1,"",[1]
90,3568,[18712],[7006],7,1,"","","","","",1,100,1,"",[1]
91,3569,[18713],[7006],7,1,"","","","","",1,100,1,"",[1]
92,3570,[18714],"[7006,7152]",7,1,"","","","","",1,100,1,"",[1]
93,3571,[18715],[],73,1,"","","","","",1,100,2,"",[]
94,3572,[18716],[],74,1,"","","","","",1,100,1,"",[]
95,3573,[18717],[],75,1,"","","","","",1,100,1,"",[1]
96,3574,[18718],[],127,1,"","","","","",1,100,4,"",[]
97,3575,[18719],[7006],8,1,"","","","","",1,100,1,"",[1]
98,3576,[18720],[7006],8,1,"","","","","",1,100,1,"",[1]
99,3577,[18721],[7006],8,1,"","","","","",1,100,1,"",[1]
100,3578,[18722],"[7006,7153]",8,1,"","","","","",1,100,1,"",[1]
101,3579,[18723],[],37,1,"","","","","",1,100,3,"",[]
102,3580,[18724],[],38,1,"","","","","",1,100,1,"",[]
103,3581,[18725],[],39,1,"","","","","",1,100,1,"",[]
104,3582,[18726],[],40,1,"","","","","",1,100,1,"",[]
105,3583,[18727],[],41,1,"","","","","",1,100,1,"",[]
106,3584,[18728],[7006],9,1,"","","","","",1,100,1,"",[1]
107,3585,[18729],[7006],9,1,"","","","","",1,100,1,"",[1]
108,3586,[18730],[7006],9,1,"","","","","",1,100,1,"",[1]
109,3587,[18731],"[7006,7154]",9,1,"","","","","",1,100,1,"",[1]
110,3588,[18732],[],66,1,"","","","","",1,100,4,"",[]
111,3589,[18733],[],67,1,"","","","","",1,100,1,"",[]
112,3591,[18734],[],68,1,"","","","","",1,100,1,"",[]
113,3590,[18735],[],69,1,"","","","","",1,100,1,"",[]
114,3592,[18736],[7006],10,1,"","","","","",1,100,1,"",[1]
115,3593,[18737],[7006],10,1,"","","","","",1,100,1,"",[1]
116,3594,[18738],[7006],10,1,"","","","","",1,100,1,"",[1]
117,3595,[18739],"[7006,7155]",10,1,"","","","","",1,100,1,"",[1]
118,3596,[18740],[],10,1,"","","","","",1,100,1,"",[]
119,3597,[18741],[],103,1,"","","","","",1,100,2,"",[]
120,3598,[18742],[],104,1,"","","","","",1,100,1,"",[]
121,3600,[18743],[],105,1,"","","","","",1,100,1,"",[]
122,3599,[18744],[],106,1,"","","","","",1,100,1,"",[1]
123,3601,[18745],[7006],11,1,"","","","","",1,100,1,"",[1]
124,3602,[18746],[7006],11,1,"","","","","",1,100,1,"",[1]
125,3603,[18747],[7006],11,1,"","","","","",1,100,1,"",[1]
126,3604,[18748],"[7006,7156]",11,1,"","","","","",1,100,1,"",[1]
127,3605,[18749],[],96,1,"","","","","",1,100,5,"",[]
128,3606,[18750],[],97,1,"","","","","",1,100,1,"",[]
129,3607,[18751],[],98,1,"","","","","",1,100,1,"",[]
130,3608,[18752],[],99,1,"","","","","",1,100,1,"",[1]
131,3609,[18753],[],100,1,"","","","","",1,100,1,"",[]
132,3610,[18771],[7006],12,1,"","","","","",1,100,1,"",[1]
133,3611,[18772],[7006],12,1,"","","","","",1,100,1,"",[1]
134,3612,[18773],[7006],12,1,"","","","","",1,100,1,"",[1]
135,3613,[18774],"[7006,7157]",12,1,"","","","","",1,100,1,"",[1]
136,3614,[18758],[],13,1,"","","","","",1,100,1,"",[1]
137,3615,[18759],[],13,1,"","","","","",1,100,1,"",[1]
138,3616,[18760],[],13,1,"","","","","",1,100,1,"",[1]
139,3617,[18761],[],13,1,"","","","","",1,100,1,"",[1]
140,3618,[18762],[],14,1,"","","","","",1,100,1,"",[1]
141,3619,[18763],[],14,1,"","","","","",1,100,1,"",[1]
142,3620,[18764],[],14,1,"","","","","",1,100,1,"",[1]
143,3621,[18765],[],14,1,"","","","","",1,100,1,"",[1]
144,3622,[18766],[],14,1,"","","","","",1,100,2,"",[]
145,3623,[18767],[],93,1,"","","","","",1,100,2,"",[]
146,3624,[18768],[],94,1,"","","","","",1,100,1,"",[]
147,3625,[18769],[],95,1,"","","","","",1,100,1,"",[1]
148,3626,[18770],[],138,1,"","","","","",1,100,1,"",[]
149,3627,[18775],[],34,1,"","","","","",1,100,5,"",[]
