"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]_64","AOFile","bool_88","[i32]_89","AppearanceChestsKey","ChestsKey","[rid]_137"
0,"UniqueChestTest1",369,0,0,"[7724,7735,7714]",0,[],"Metadata/Chests/StrongBoxes/ArmoryStrongBox.ao","",[],"",280,[]
1,"PerandusBank",375,382,20,"[7757,7746,7796,7804,8557]",0,[],"Metadata/Chests/StrongBoxes/PerandusBox.ao","",[],"",275,"[9356,9918]"
2,"KaomsCache",376,383,20,"[7749,7743,7770,7803,8557]",60,[],"Metadata/Chests/StrongBoxes/KaomBox.ao","",[],"",262,"[9356,9918]"
3,"EmpyreanApparatus",377,384,60,"[7750,7744,7812,8557]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",265,"[9356,9918]"
4,"ObaChest1",415,423,0,"[7802,7797]",0,[],"Metadata/Chests/StrongBoxes/JewellerStrongBox.ao","",[],"",275,"[9356,9918]"
5,"ObaChest2",416,423,0,[7788],0,[],"Metadata/Chests/StrongBoxes/ArcanistStrongBox.ao","",[],"",259,"[9356,9918]"
6,"ObaChest3",417,423,0,"[7787,7813]",0,[],"Metadata/Chests/StrongBoxes/GemcutterStrongBox.ao","",[],"",273,"[9356,9918]"
7,"GrandmasterGemcutters",456,459,0,"[7814,7779,7791,9173]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",274,[]
8,"GrandmasterArcanists",457,459,0,"[7792,9173]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",261,[]
9,"GrandmasterCartographers",458,459,0,"[7790,7798,7806,7815,9173]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",270,[]
10,"GrandmasterOrnateStrongbox",459,459,0,"[7728,7719,7805,9173,7833]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",279,[]
11,"GrandmasterUniqueItem",460,459,0,"[7740,7721,7730,9173,7833]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",281,[]
12,"GrandmasterSameBaseType",461,459,0,"[7721,7730,9457,9173,7833]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",281,[]
13,"GrandmasterVaalVessel",462,459,0,"[7847,7721,7730,9453,9173,7833]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",281,[]
14,"GrandmasterLargeStrongbox",463,459,0,"[7729,7720,9173,7833]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",277,[]
15,"BarrelOfSpiders",468,464,30,"[9517,7853,7775]",100,[],"Metadata/Chests/Barrels/Barrel1.ao",1,[],364,280,"[9356,9918]"
16,"DeshretsStorm",680,840,35,"[12708,7762,12710,7827,7822]",100,[],"Metadata/Chests/UniqueStrongboxes/Vase.ao","",[],"",263,"[9356,9918]"
17,"AshesOfTheCondemned",681,841,40,"[7751,7761,7722,7734]",100,[],"Metadata/Chests/UniqueStrongboxes/BaroqueVase.ao","",[],"",280,"[9356,9918]"
18,"MutewindCache",682,842,56,"[7764,12705,7723,7834]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",280,"[9356,9918]"
19,"RedbladeCache",683,843,56,"[7763,12704,7723,7834]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",280,"[9356,9918]"
20,"BrinerotCache",684,844,56,"[7765,12706,7723,7834]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",280,"[9356,9918]"
21,"RenegadesCache",685,845,56,"[7766,12707,7723,7834]",10,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",280,"[9356,9918]"
22,"ProphecyWickedKing4",785,1028,0,"[7789,12793,12794,12795]",0,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",260,"[9356,9918]"
23,"VaultsOfAtziriUnique",808,1050,0,[9173],0,[],"Metadata/Chests/VaalChests/VaalChest.ao",1,[],"",284,[]
24,"BreachUniqueBox",810,1059,0,[7788],0,[],"Metadata/Chests/CocoonChests/Cocoon1.ao",1,[],"",498,[]
25,"DivinationCardUniqueBox",865,847,0,"[9527,7889,8557]",0,[],"Metadata/Chests/UniqueStrongboxes/DivinationCardUniqueStrongbox.ao",1,[],"",1665,"[9356,9918]"
26,"WeylamsWarChest",876,846,40,"[7793,9523,13388,13766]",60,[],"Metadata/Chests/UniqueStrongboxes/WarChest.ao","",[],"",259,"[9356,9918]"
27,"ForgottenReliquaryChest",901,1188,0,[13587],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",522,[]
28,"ForgottenReliquaryChest2",902,1189,0,[13588],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",523,[]
29,"ForgottenReliquaryChestVaal",903,1190,0,[13589],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",524,[]
30,"ForgottenReliquaryVenarius",904,1191,0,[13590],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",525,[]
31,"ForgottenReliquaryEaterOfWorlds",905,1192,0,[13591],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",526,[]
32,"ForgottenReliquaryMaven",906,1193,0,[13592],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",527,[]
33,"ForgottenReliquarySearingExarch",907,1194,0,[13593],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",528,[]
34,"ForgottenReliquarySirus",908,1195,0,[13594],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",529,[]
35,"ForgottenReliquaryShaper",909,1196,0,[13595],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",530,[]
36,"ForgottenReliquaryUberElder",910,1197,0,[13596],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",531,[]
37,"ForgottenReliquaryCosmic",911,1198,0,[13597],0,[],"Metadata/Chests/Legacy/ForgottenReliquaryCosmic.ao",1,[],"",532,[]
38,"EmpyreanApparatus2",377,384,68,"[7750,7744,7812,8557]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",266,"[9356,9918]"
39,"EmpyreanApparatus3",377,384,72,"[7750,7744,7812,8557]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",267,"[9356,9918]"
40,"EmpyreanApparatus4",377,384,76,"[7750,7744,7812,8557]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",268,"[9356,9918]"
41,"EmpyreanApparatus5",377,384,80,"[7750,7744,7812,8557]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",269,"[9356,9918]"
42,"BookStandUniqueBox",968,665,0,[7714],0,[],"Metadata/Chests/StrongBoxes/BookStandStrongBox.ao","",[],"",282,[]
43,"VaalStrongboxSacrifice",1178,2203,0,[20694],0,[],"Metadata/Chests/VaalChests/VaalUniqueChest02.ao",1,[],"",1666,"[9356,9918]"
44,"VaalStrongboxMortal",1179,2204,0,[20695],0,[],"Metadata/Chests/VaalChests/VaalUniqueChest03.ao",1,[],"",1667,"[9356,9918]"
