"rownum","string_0","rid_8","rid_24","i32_40","rid_44","rid_60","i32_76","i32_80","i32_84"
0,"RitualMaven",2357,84,0,"",36,0,2,1586
1,"ArchnemesisMaven",2357,84,0,"",42,0,2,1586
2,"ArchnemesisExarch",2611,84,0,"",42,0,2,1586
3,"ArchnemesisEater",2612,84,0,"",42,0,2,1586
4,"SentinelUberEater",2618,85,0,"",44,0,2,1586
5,"SentinelUberExarch",2619,85,0,"",44,0,2,1586
6,"SentinelUberMaven",2620,85,0,"",44,0,2,1586
7,"SentinelUberSirus",2621,85,0,"",44,0,2,1586
8,"SentinelUberVenarius",2622,85,0,"",44,0,2,1586
9,"SentinelUberUberElder",2623,85,0,"",44,0,2,1586
10,"SentinelUberShaper",2624,85,0,"",44,0,2,1586
11,"KalandraUberEater",2618,85,0,"",45,0,2,1586
12,"KalandraUberExarch",2619,85,0,"",45,0,2,1586
13,"KalandraUberMaven",2620,85,0,"",45,0,2,1586
14,"KalandraUberSirus",2621,85,0,"",45,0,2,1586
15,"KalandraUberVenarius",2622,85,0,"",45,0,2,1586
16,"KalandraUberUberElder",2623,85,0,"",45,0,2,1586
17,"KalandraUberShaper",2624,85,0,"",45,0,2,1586
18,"CrucibleUberEater",2618,85,0,"",47,0,1,1586
19,"CrucibleUberExarch",2619,85,0,"",47,0,1,1586
20,"MercenaryAnger",3306,84,0,"",55,0,2,1586
21,"MercenaryBenevolence",3307,84,0,"",55,0,2,1586
22,"MercenaryIgnorance",3305,84,0,"",55,0,2,1586
