"rownum","rid_0","bool_16","bool_17","bool_18"
0,1355,"","",""
1,1356,"","",""
2,1089,"","",""
3,1090,"","",""
4,1091,"","",""
5,1092,"","",""
6,1093,"","",""
7,1094,"","",""
8,1095,"","",""
9,1096,"","",""
10,1097,"","",""
11,1098,"","",""
12,1099,"","",""
13,1100,"","",""
14,1101,"","",""
15,1102,"","",""
16,1103,"","",""
17,1104,"","",""
18,1105,"","",""
19,1106,"","",""
20,1107,"","",""
21,1108,"","",""
22,1109,1,"",""
23,1110,"",1,""
24,1113,"","",""
25,1114,"","",""
26,1115,"","",""
27,1116,"","",""
