"rownum","Id","WorldAreasKey","CharactersKey","MonsterVarietiesKey","i32_56"
0,"ProxyKey0",1351,0,2698,1
1,"ProxyKey1",1355,0,2716,1
2,"ProxyKey2",1356,0,2716,1
3,"ProxyKey3",1363,0,2668,1
4,"ProxyKey4",1364,0,2668,1
5,"ProxyKey5",1371,0,2739,1
6,"ProxyKey6",1351,1,2682,1
7,"ProxyKey7",1355,1,2730,1
8,"ProxyKey8",1356,1,2730,1
9,"ProxyKey9",1363,1,2716,1
10,"ProxyKey10",1364,1,2716,1
11,"ProxyKey11",1371,1,2739,1
12,"ProxyKey12",1351,3,2657,1
13,"ProxyKey13",1355,3,2668,1
14,"ProxyKey14",1356,3,2668,1
15,"ProxyKey15",1363,3,2730,1
16,"ProxyKey16",1364,3,2730,1
17,"ProxyKey17",1371,3,2739,1
18,"ProxyKey18",1351,6,2716,1
19,"ProxyKey19",1355,6,2682,1
20,"ProxyKey20",1356,6,2682,1
21,"ProxyKey21",1363,6,2698,1
22,"ProxyKey22",1364,6,2698,1
23,"ProxyKey23",1371,6,2739,1
24,"ProxyKey24",1351,4,2668,1
25,"ProxyKey25",1355,4,2698,1
26,"ProxyKey26",1356,4,2698,1
27,"ProxyKey27",1363,4,2657,1
28,"ProxyKey28",1364,4,2657,1
29,"ProxyKey29",1371,4,2739,1
30,"ProxyKey30",1351,5,2730,1
31,"ProxyKey31",1355,5,2657,1
32,"ProxyKey32",1356,5,2657,1
33,"ProxyKey33",1363,5,2682,1
34,"ProxyKey34",1364,5,2682,1
35,"ProxyKey35",1371,5,2739,1
36,"ProxyKey36",1351,2,2682,1
37,"ProxyKey50",1351,2,2657,1
38,"ProxyKey51",1355,2,2698,1
39,"ProxyKey37",1355,2,2730,1
40,"ProxyKey42",1356,2,2698,1
41,"ProxyKey43",1356,2,2730,1
42,"ProxyKey38",1363,2,2716,1
43,"ProxyKey44",1363,2,2668,1
44,"ProxyKey45",1364,2,2716,1
45,"ProxyKey39",1364,2,2668,1
46,"ProxyKey41",1371,2,2739,1
