"rownum","Id","bool_8","bool_9","rid_10","[rid]_26","rid_42","rid_58","rid_74","[rid]_90","rid_106","rid_122","i32_138","bool_142","rid_143","bool_159","bool_160","[rid]_161","bool_177","rid_178"
0,"Anarchy",1,1,16938,[1849],16979,13765,"","[2233,3255]",5450,"",10,"",1388,"","",[],"",""
1,"Shrine",1,1,16939,[],16980,13762,"","[2454,9822,9821,20612,20618]",5611,"",10,"","",1,"",[],"",""
2,"VaalSideArea",1,1,16940,[],13591,"",2312,[5825],"","",1,"","",1,"",[2312],"",""
3,"Ambush",1,1,16941,[2520],16981,"","",[2453],5654,"",2,"","","","",[],"",""
4,"Beyond",1,1,"",[],16455,"","",[],"","",1,"","","",1,[],"",""
5,"Torment",1,1,16942,[2768],16982,13761,"","[2769,3256]",5577,"",10,"","","","",[],"",""
6,"Essence",1,1,16943,[],16983,15465,"","[4868,5591]",5462,"",10,"","","","",[],"",""
7,"Breach","",1,16104,[9252],13272,"",17012,"[5457,5590]",5456,"",3,"","","","",[17012],1,""
8,"Harbinger",1,1,"",[16666],13763,"","",[6291],"","",10,"","","","",[],"",""
9,"Abyss",1,"",16103,[9252],13707,"",17010,[6629],"","",10,"","","","",[17010],1,""
10,"MasterMission",1,1,"",[2334],"","","",[4929],"","",1,"","",1,1,[],"",""
11,"Bestiary",1,1,"",[2334],19801,"",13767,[19854],"","",1,"","","",1,[13767],"",""
12,"Incursion","",1,"",[2334],19802,"",13770,[19855],"","",1,"","",1,1,[13770],"",""
13,"Delve","",1,"",[2334],19804,"",13768,[19857],"","",1,"","",1,1,[13768],"",""
14,"Betrayal","",1,"",[2334],19803,"",13769,[19858],"","",1,"","",1,1,[13769],"",""
15,"Legion","",1,16106,[],13484,"",17016,[9325],"","",1,"","",1,"",[17016],1,""
16,"Blight",1,1,16108,[],13621,15851,17011,[10022],"","",1,"","",1,"",[17011],1,""
17,"Delirium","",1,16111,[],13613,"",17013,[12432],"","",1,"","","","",[17013],1,""
18,"Harvest","",1,16102,[],13282,"",17015,[11760],"","",1,"","",1,"",[17015],1,""
19,"Heist","",1,16110,[],13647,"",13586,"[13209,14115]","","",1,"","","","",[13586],1,""
20,"Ritual",1,"",16109,[],14004,"",17018,[14003],"","",1,"","","","",[17018],1,""
21,"Expedition","",1,16105,[],14684,"",17014,[14170],"","",1,"","","",1,[17014],1,""
22,"Sanctum","",1,"",[],"","","",[16932],"","",1,1,"",1,"",[],"",""
23,"Crucible","",1,"",[],"","","",[17660],"","",1,1,"",1,"",[],"",""
24,"Ultimatum","","",18957,[],18958,"",18959,[18960],"","",1,"","",1,1,[18959],1,""
25,"Azmeri","",1,"",[],"","","",[18961],"","",1,1,"",1,1,[],"",""
26,"Sentinel",1,1,"",[21064],"","","",[20976],"","",1,1,"","","",[],"",""
27,"Settlers","",1,20880,[20884],20881,20883,20882,[21023],"","",2,"","",1,"",[20882],"",21068
