"rownum","StatsKey","i32_16","MonsterPacksKeys","AdditionalMonsterPacksStatMode","PackCountStatsKey","StatsKeys","StatsValues","i32_88","PackSizeStatsKey","rid_108"
0,6863,1,"[1953,1954]",1,"",[],[],0,"",""
1,6862,1,"[1946,1947,1948,1949,1950,1951,2449]",0,2211,[],[],0,17279,""
2,7236,1,"[1958,1959,1960,1961]",0,2211,[],[],0,17280,""
3,9337,2,[2448],0,"",[],[],0,"",""
4,5021,2,[1839],0,"",[],[],0,"",""
5,5022,2,[1843],0,"",[],[],0,"",""
6,5023,2,[1841],0,"",[],[],0,"",""
7,5615,2,[1927],0,"",[],[],0,"",""
8,5024,2,[1842],0,"",[],[],0,"",""
9,5025,2,[1840],0,"",[],[],0,"",""
10,5077,2,[1844],0,"",[],[],0,"",""
11,5106,2,[1848],0,"",[],[],0,"",""
12,5081,2,[1849],0,"",[5084],[1],0,"",""
13,5082,2,[1845],0,"",[],[],15,"",""
14,10779,2,"[1958,1959,1960,1961]",0,"",[10817],[1],126,"",""
15,10780,2,"[1946,1947,1948,1949,1950,1951,2449]",0,"",[10816],[1],127,"",""
16,13918,2,[2047],0,"",[],[],0,"",""
17,13919,2,[2048],0,"",[],[],0,"",""
18,13920,2,[2058],0,"",[],[],0,"",""
19,14848,2,"[2614,2615,2616,2617]",0,14848,[],[],0,"",""
20,15486,3,"[2850,2851,2852,2853]",1,"",[],[],0,"",""
21,19083,2,"[1850,1851,1852,1853,1854,1855,1856]",0,"",[],[],0,"",""
22,19112,2,[1645],0,"",[],[],0,"",""
23,19117,2,[2954],0,"",[],[],0,"",""
24,19122,2,"[2955,2956,2957,2958,2959,2960,2961]",0,"",[],[],0,"",""
25,19222,2,"[1953,1954,1946,1947,1948,1949,1950,1951,2449,1958,1959,1960,1961,2450,2451,2452,2453,2458,2459,2460,2461,2462,2468,2469,2470,2471,2472,2478,2479,2480]",0,"",[],[],0,"",""
26,19622,2,"[2037,2038,2039,2040,2043]",0,"",[],[],0,"",""
27,19886,4,"[3037,3038,3039,3040,3041,3042,3043,3045,3046,3047,3048,3049,3050,3051,3052,3053,3054,3055,3056,3057,3058,3059,3060,3062,3063,3064,3065,3066,3067,3068,3069,3070,3071,3072,3073,3074,3075,3076,3077]",0,"",[],[],0,"",19885
28,20442,2,"[1659,1660,1661,1662,1663]",0,"",[],[],0,"",""
29,20521,2,"[3037,3038,3039,3040,3041,3042,3043,3044,3045,3046,3047,3048,3049,3050,3051,3052,3053,3054,3055,3056,3057,3058,3059,3060,3061,3062,3063,3064,3065,3066,3067,3068,3069,3070,3071,3072,3073,3074,3075,3076,3077,3078,3079,3080]",0,"",[8991],[300],0,"",""
30,20888,5,[3004],0,"",[],[],0,"",""
31,20971,5,"[3094,3095,3096,3097]",0,"",[21126],[1],0,"",""
32,21141,5,[3108],0,"",[21154],[2],0,"",""
33,21142,5,[3106],0,"",[21157],[1],0,"",""
34,21143,5,[3110],0,"",[],[],0,"",""
35,21144,5,"[3117,3118,3119]",0,"",[],[],0,"",""
36,21145,5,[3109],0,"","[21273,21327,11]","[1,1,50]",0,"",""
37,21146,5,[3107],0,"","[20693,20808]","[100,200]",0,"",""
38,21147,5,[3116],0,"",[],[],0,"",""
