"rownum","Item","TriggeredQuestFlag","rid_32","i32_48","[rid]_52","bool_68","bool_69","HelpText","Description","Script","rid_110","rid_126","i32_142"
0,3953,2284,"",225,[],"","","","","","","",1586
1,3954,1870,"",351,[],"","","","","","","",1586
2,3955,1869,"",352,[],"","","","","","","",1586
3,3968,2301,"",979,[],"",1,888,"","","","",1586
4,3969,2302,"",980,[],"",1,888,"","","","",1586
5,3970,2303,"",981,[],"",1,888,"","","","",1586
6,3971,2304,"",982,[],"",1,888,"","","","",1586
7,1550,2583,"",1156,[],"","",903,"","","","",1586
8,1551,2584,"",1157,[],"","",904,"","","","",1586
9,1552,2594,"",1160,[],"","",905,"","","","",1586
10,4507,953,"",207,[],"",1,890,"","","","",1586
11,4509,954,"",212,[],"",1,6154,"","","","",1586
12,4511,955,"",323,[],"",1,891,"","","","",1586
13,4513,956,"",328,[],"",1,6155,"","","","",1586
14,4515,3282,"",702,[],"",1,7741,"","","","",1586
15,4517,3283,"",703,[],"",1,7742,"","","","",1586
16,4519,3284,"",704,[],"",1,7743,"","","","",1586
17,1452,2007,"",662,[],"","",886,900,"skill_book","","",1586
18,1453,2008,"",663,[],"","",886,900,"skill_book","","",1586
19,1454,2009,"",664,[],"","",886,900,"skill_book","","",1586
20,1455,2010,"",665,[],"","",886,900,"skill_book","","",1586
21,1456,2012,"",675,[],"","",886,900,"skill_book","","",1586
22,1457,2013,"",676,[],"","",886,900,"skill_book","","",1586
23,1553,1518,1516,1586,[],"","",906,"","sentinel_controller","","",1586
24,4648,2160,"",416,[],"","",908,"","","","",1586
25,1548,3220,"",1586,[],"","",7371,"","","","",1586
26,1549,3221,"",1586,[],"","",7371,"","","","",1586
