"rownum","Id","rid_4","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","rid_28","i32_44","bool_48","i32_49","i32_53","bool_57"
0,1,66,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀",2,0,"",0,0,1
1,2,68,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效",2,0,"",0,0,1
2,3,70,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicional","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效",2,0,"",0,17,""
3,4,66,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀",3,0,"",0,1,1
4,5,68,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效",3,0,"",0,1,1
5,6,70,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicional","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效",3,0,"",0,17,""
6,7,72,"Helmet Skin","Apparence de casque","Helm-Skin","兜スキン","투구 스킨","Visual de Elmo","Внешний вид шлема","Aspecto para casco","สกินหมวก","頭部外觀",4,0,"",0,4,""
7,8,73,"Helmet Attachment","Accessoire de casque","Helmzusatz","兜装飾品","투구 부착물","Adorno de Elmo","Эффект шлема","Accesorio para casco","แฟชั่นติดหมวก","頭部特效",4,0,"",0,14,""
8,9,74,"Armour Skin","Apparence d'armure","Körperrüstung-Skin","鎧スキン","갑옷 스킨","Visual de Peitoral","Внешний вид брони","Aspecto para armadura","สกินเสื้อเกราะ","身體外觀",1,0,"",0,2,""
9,10,5,"Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","방어구 부착물","Adorno de Peitoral","Заплечное украшение","Accesorio para armadura","แฟชั่นติดหลัง","背飾",1,0,"",0,3,""
10,11,76,"Gloves Skin","Apparence de gants","Handschuhe-Skin","手袋スキン","장갑 스킨","Visual de Luvas","Внешний вид перчаток","Aspecto para guantes","สกินถุงมือ","手部外觀",8,0,"",0,5,""
11,12,77,"Boots Skin","Apparence de bottes","Stiefel-Skin","靴スキン","장화 스킨","Visual de Botas","Внешний вид обуви","Aspecto para botas","สกินรองเท้า","腳部外觀",9,0,"",0,6,""
12,13,78,"Footprints","Empreintes de pas","Fußspuren","足跡","발자국","Pegadas","Следы","Huellas","รอยเท้า","行走特效",9,0,"",0,13,""
13,14,80,"Apparition","Apparition","Erscheinung","幻影","유령","Aparição","Временный эффект","Aparición","ร่างเงา","項鍊特效",5,0,"",0,17,""
14,15,81,"Character Effect","Effet de personnage","Charaktereffekt","キャラクターエフェクト","캐릭터 이펙트","Efeito de Personagem","Эффект персонажа","Efecto para el personaje","เอฟเฟคตัวละคร","角色特效",10,0,"",0,12,""
15,16,84,"Portrait","Portrait","Portrait","ポートレート","초상화","Retrato","Портрет","Retrato","รูปภาพ","角色頭像","",0,"",0,17,""
16,17,83,"Social Frame","Cadre de portrait","Rahmen","ソーシャルフレーム","소셜 액자","Moldura Social","Портретная рамка","Marco social","กรอบรูปตัวละคร","肖像外框","",0,"",0,17,""
17,18,82,"Pet","Familier","Begleiter","ペット","애완동물","Mascote","Питомец","Mascota","สัตว์เลี้ยง","寵物","",0,"",0,17,""
18,19,82,"Pet","Familier","Begleiter","ペット","애완동물","Mascote","Питомец","Mascota","สัตว์เลี้ยง","寵物","",0,"",0,17,""
