"rownum","Key","SpawnWeight_TagsKeys","SpawnWeight_Values","ModsKey","MinLevel","MaxLevel","IsPrefix"
0,"ProxyKey1",[0],[45],10208,2,39,1
1,"ProxyKey2",[0],[45],10207,40,100,1
2,"ProxyKey3",[0],[45],10209,40,100,1
3,"ProxyKey4","[158,0]","[0,94]",10210,2,100,1
4,"ProxyKey5","[162,0]","[0,0]",10211,40,100,1
5,"ProxyKey6","[152,0]","[0,45]",10212,56,100,1
6,"ProxyKey7","[57,0]","[45,0]",10213,68,100,1
7,"ProxyKey8","[57,0]","[1,0]",10214,68,100,1
8,"ProxyKey9",[0],[94],10216,2,39,1
9,"ProxyKey10",[0],[94],10215,40,100,1
10,"ProxyKey11","[158,0]","[0,94]",10218,2,39,1
11,"ProxyKey12","[158,0]","[0,94]",10217,40,100,1
12,"ProxyKey13",[0],[94],10220,2,39,1
13,"ProxyKey14",[0],[94],10219,40,100,1
14,"ProxyKey15",[0],[94],10222,2,39,1
15,"ProxyKey16",[0],[94],10221,40,100,1
16,"ProxyKey17",[0],[45],10223,2,100,1
17,"ProxyKey18",[0],[94],10225,2,39,1
18,"ProxyKey19",[0],[94],10224,40,100,1
19,"ProxyKey20",[0],[94],10226,40,100,1
20,"ProxyKey21",[0],[45],10227,56,100,1
21,"ProxyKey22",[0],[94],10228,40,100,1
22,"ProxyKey23","[57,0]","[9,0]",10229,68,100,1
23,"ProxyKey24",[0],[94],10230,40,100,1
24,"ProxyKey25",[0],[45],10231,56,100,1
25,"ProxyKey26",[0],[45],10232,40,100,1
26,"ProxyKey27",[0],[45],10233,40,100,1
27,"ProxyKey28",[0],[9],10235,23,39,1
28,"ProxyKey29",[0],[9],10234,40,100,1
29,"ProxyKey30","[61,0]","[9,0]",10236,40,100,1
30,"ProxyKey31",[0],[45],10237,40,100,1
31,"ProxyKey32",[0],[45],10238,40,100,1
32,"ProxyKey33",[0],[94],10239,2,100,1
33,"ProxyKey34",[0],[94],10240,40,100,1
34,"ProxyKey35",[0],[94],10241,2,100,1
35,"ProxyKey36",[0],[94],10242,40,100,1
36,"ProxyKey37",[0],[94],10243,2,100,1
37,"ProxyKey38",[0],[94],10244,40,100,1
38,"ProxyKey39",[0],[0],10245,2,100,1
39,"ProxyKey40",[0],[0],10246,40,100,1
40,"ProxyKey41",[0],[94],10247,2,100,1
41,"ProxyKey42",[0],[94],10248,40,100,1
42,"ProxyKey43",[0],[94],10249,40,100,1
43,"ProxyKey44","[57,0]","[4,0]",10250,68,100,1
44,"ProxyKey45",[0],[45],10251,2,100,1
45,"ProxyKey46",[0],[9],10253,2,39,1
46,"ProxyKey47",[0],[9],10252,40,100,1
47,"ProxyKey48",[0],[94],10254,2,100,1
48,"ProxyKey49",[0],[45],10255,2,100,1
49,"ProxyKey50",[0],[94],10256,2,100,1
50,"ProxyKey51",[0],[94],10257,2,100,1
51,"ProxyKey52",[0],[45],10258,2,100,1
52,"ProxyKey53",[0],[5000],9555,40,100,""
53,"ProxyKey54","[164,0]","[0,2500]",10261,40,100,""
54,"ProxyKey55",[0],[5000],10262,40,100,""
55,"ProxyKey56",[0],[5000],10263,40,100,""
56,"ProxyKey57",[0],[5000],10264,40,100,""
57,"ProxyKey58",[0],[5000],10265,40,100,""
58,"ProxyKey59",[0],[2500],10270,56,100,""
59,"ProxyKey60",[0],[500],10271,56,100,""
60,"ProxyKey61","[57,0]","[500,0]",10272,68,100,""
61,"ProxyKey62","[164,57,0]","[0,250,0]",10273,68,100,""
62,"ProxyKey63","[164,57,0]","[0,250,0]",10274,68,100,""
63,"ProxyKey64",[0],[2500],10275,40,100,""
64,"ProxyKey65",[0],[5000],10276,40,100,""
65,"ProxyKey66",[0],[5000],10277,40,100,""
66,"ProxyKey67",[0],[5000],10278,40,100,""
67,"ProxyKey68",[0],[2500],10279,56,100,""
68,"ProxyKey69","[164,57,0]","[0,500,0]",10280,40,100,""
69,"ProxyKey70","[164,57,0]","[0,500,0]",10281,68,100,""
70,"ProxyKey71","[164,57,0]","[0,500,0]",10282,68,100,""
71,"ProxyKey72","[57,0]","[3,0]",10283,68,100,""
72,"ProxyKey73","[57,0]","[5000,0]",10266,68,100,""
73,"ProxyKey74","[57,0]","[5000,0]",10267,68,100,""
74,"ProxyKey75","[57,0]","[5000,0]",10268,68,100,""
75,"ProxyKey76","[57,0]","[5000,0]",10269,68,100,""
76,"ProxyKey77","[164,57,0]","[0,250,0]",10284,68,100,""
