"rownum","MonsterVarietiesKey","i32_16","MinLevel","MaxLevel","i32_28"
0,5727,100,0,25,100
1,5728,100,0,25,100
2,5729,100,0,25,100
3,5730,100,0,25,100
4,5731,100,0,25,100
5,5732,100,10,100,100
6,5733,100,10,100,100
7,5734,100,10,100,100
8,5735,100,10,100,100
9,5736,100,25,100,100
10,5737,100,25,100,100
11,5740,100,25,100,100
12,5743,100,25,100,100
13,5746,100,25,100,100
14,5749,100,46,100,100
15,5752,100,46,100,100
16,5755,100,46,100,100
17,5758,100,46,100,100
18,5761,100,46,100,100
19,5764,20,60,100,40
20,5765,20,60,100,40
21,5766,20,60,100,40
22,5767,20,60,100,40
23,5768,20,60,100,40
24,5769,20,60,100,40
25,5770,20,60,100,40
26,5771,20,60,100,40
27,5772,20,60,100,40
