"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsResonator","i32_29","i32_33"
0,293,100,300,0,1,1,600
1,294,100,750,0,1,1,1500
2,295,100,3750,0,1,1,7500
3,256,100,1000,0,"",0,2000
4,257,100,1000,0,"",0,2000
5,258,100,1000,0,"",0,2000
6,259,100,1000,0,"",0,2000
7,260,100,1000,0,"",0,2000
8,261,100,1000,0,"",0,2000
9,262,100,1000,0,"",0,2000
10,263,40,10000,19,"",0,20000
11,264,40,10000,19,"",0,20000
12,265,40,10000,19,"",0,20000
13,266,40,10000,19,"",0,20000
14,267,40,10000,19,"",0,20000
15,268,40,10000,19,"",0,20000
16,269,40,10000,19,"",0,20000
17,270,40,10000,19,"",0,20000
18,271,40,10000,19,"",0,20000
19,272,40,10000,19,"",0,20000
20,273,10,1000000,75,"",0,2000000
21,274,10,1000000,75,"",0,2000000
22,275,10,1000000,75,"",0,2000000
23,276,10,1000000,75,"",0,2000000
24,277,10,1000000,75,"",0,2000000
25,278,10,1000000,75,"",0,2000000
26,279,10,100000,35,"",0,200000
27,280,10,100000,35,"",0,200000
28,289,100,300,0,1,2,600
29,290,100,750,0,1,2,1500
30,291,100,3750,0,1,2,7500
