"rownum","rid_0","rid_16","i32_32"
0,16292,16292,3
1,16293,16293,3
2,16289,16289,0
3,16290,16290,0
4,16291,16291,0
5,16294,16294,0
6,16295,216,0
7,16297,6193,0
8,16300,216,1
9,16301,216,2
10,16302,216,3
11,16303,11795,1
12,16221,11795,2
13,16304,172,1
14,16305,172,2
15,16306,16048,1
16,16307,16048,2
17,16319,16216,3
18,16317,16317,1
19,16318,16318,3
20,16279,16279,4
21,16280,16280,4
22,16281,16281,4
23,16310,16310,0
24,16311,16310,1
25,16312,16310,3
26,16314,16313,1
27,16315,16313,2
28,16316,16316,3
29,16308,16308,0
30,16309,16308,3
31,16296,16296,0
32,16298,16296,2
33,16299,16296,3
34,16222,16222,4
35,16321,16342,1
36,16322,16322,0
37,16320,16320,3
38,16323,16343,3
39,16331,16331,3
40,16332,16332,2
41,16333,16333,1
42,16334,16334,2
43,16335,16335,2
44,16363,16310,2
45,16370,16370,4
46,16369,16369,4
