"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,4671,0,0,0,""
1,4672,1,0,0,""
2,4673,2,0,0,""
3,4674,3,0,0,""
4,4675,4,0,0,""
5,4676,5,0,0,""
6,4677,6,0,0,""
7,4678,7,0,1,""
8,4679,8,0,1,""
9,4680,9,0,1,""
10,4681,10,2,1,""
11,4682,11,0,1,""
12,4683,12,0,1,""
13,4684,13,0,1,""
14,4685,14,0,2,""
15,4686,15,0,2,""
16,4687,16,0,2,""
17,4688,17,0,2,""
18,4689,18,0,2,""
19,4690,19,0,2,""
20,4691,20,0,2,""
21,4692,21,0,3,""
22,4693,22,0,3,""
23,4694,23,0,3,""
24,4695,24,2,3,""
25,4696,25,0,3,""
26,4697,26,0,3,""
27,4698,27,0,3,""
28,4699,28,0,4,""
29,4700,29,1,4,""
30,4701,30,2,4,""
31,4702,31,1,4,""
32,4703,32,1,4,""
33,4704,33,1,4,""
34,4705,34,2,4,""
35,4706,35,1,5,""
36,4707,36,1,5,""
37,4708,37,1,5,""
38,4709,38,2,5,""
39,4710,39,2,5,""
40,4711,40,1,5,""
41,4712,41,1,5,""
42,4713,42,1,6,""
43,4714,43,1,6,""
44,4715,44,1,6,""
45,4716,45,1,6,""
46,4717,46,1,6,""
47,4718,47,1,6,""
48,4719,48,1,6,""
49,4720,49,2,7,""
50,4721,50,2,7,""
51,4722,51,2,7,""
52,4723,52,2,7,""
53,4724,53,2,7,""
54,4725,54,2,7,""
55,4726,55,2,7,""
56,4727,56,1,8,""
57,4728,57,1,8,""
58,4729,58,2,8,""
59,4730,59,1,8,""
60,4731,60,2,8,""
61,4732,61,2,8,""
62,4733,62,1,8,""
63,4734,63,2,9,""
64,4735,64,2,9,""
65,4736,65,2,9,""
66,4737,66,0,9,""
67,4738,67,2,9,""
68,4739,68,2,9,""
69,4740,69,2,9,""
70,4741,70,3,11,""
71,4742,71,3,11,""
72,4743,72,3,11,""
73,4744,73,3,11,""
74,4745,74,3,11,""
75,4746,75,3,11,""
76,4747,76,3,11,""
77,4748,77,3,11,""
78,4749,78,4,11,""
79,4750,79,4,11,""
80,4751,80,4,11,""
81,4752,81,5,11,""
82,4753,82,5,11,""
83,4754,83,5,11,""
84,4755,84,6,11,""
85,4756,85,6,11,""
86,4757,86,6,11,""
87,4758,87,3,11,""
88,4759,88,3,11,""
89,4760,89,4,11,""
90,4761,90,5,11,""
91,4762,91,6,11,""
92,4763,92,7,11,15
93,5063,136,8,11,""
94,5064,137,8,10,""
95,5065,138,8,10,""
96,5066,139,8,10,""
97,5067,140,8,10,""
98,5068,141,8,10,""
99,5069,142,8,10,""
100,5070,143,8,10,""
101,5071,144,8,10,""
102,5072,145,8,10,""
103,5073,146,8,10,""
104,5074,147,8,10,""
105,5075,148,8,10,""
106,5076,149,8,10,""
107,5077,150,8,10,""
108,5078,151,8,10,""
109,5079,152,8,10,""
110,5080,153,8,10,""
111,5081,154,8,10,""
112,5082,155,8,10,""
113,5083,156,8,10,""
114,5084,157,8,10,""
115,5085,158,8,10,""
116,5086,159,8,10,""
117,5087,160,8,10,""
118,5088,161,8,10,""
