"rownum","rid_0","[rid]_16","[rid]_32","[rid]_48","[rid]_64","i32_80"
0,18083,[],[],[1929],[],3
1,9901,[],[],[1120],[],3
2,9900,[],[],[1119],[],3
3,4125,[],[],[556],[],3
4,4166,[],[],[558],[],3
5,13259,[],[],[1441],[],3
6,10739,[],[],[849],[],3
7,17652,[2596],[],[],[],3
8,18148,[],[],[],"[568,569]",3
9,18216,[3619],[],[],[],3
10,18421,[],[],[1952],[],3
11,10267,[],[],[491],[],3
12,18644,"[1740,1741,74]",[],[],[],3
13,18922,[3619],[],[],[],3
14,4135,[],[],[581],[],3
15,18993,[7279],[],[],[],3
16,18994,[7280],[],[],[],3
17,18995,[7281],[],[],[],3
18,18389,[],[],[],[589],1
19,18702,[],[],[],[608],1
20,19054,[],[],[2050],[],3
21,19318,"[7406,7407,7408]","[1363,1364]",[],[648],3
22,12139,[],[],[1343],[],3
23,19125,[7341],[],[2040],[],3
24,19042,[],[],[2033],[],3
