"rownum","BaseItemTypesKey","ArmourMin","ArmourMax","EvasionMin","EvasionMax","EnergyShieldMin","EnergyShieldMax","IncreasedMovementSpeed","WardMin","WardMax","i32_52","i32_56"
0,840,9,12,0,0,0,0,-3,0,0,0,0
1,841,36,47,0,0,0,0,-3,0,0,0,0
2,842,53,66,0,0,0,0,-3,0,0,0,0
3,843,94,113,0,0,0,0,-3,0,0,0,0
4,844,151,173,0,0,0,0,-3,0,0,0,0
5,845,237,260,0,0,0,0,-3,0,0,0,0
6,846,188,216,0,0,0,0,-3,0,0,0,0
7,847,177,209,0,0,0,0,-3,0,0,0,0
8,848,230,265,0,0,0,0,-3,0,0,0,0
9,849,290,324,0,0,0,0,-3,0,0,0,0
10,850,397,437,0,0,0,0,-3,0,0,0,0
11,851,293,337,0,0,0,0,-3,0,0,0,0
12,852,261,308,0,0,0,0,-3,0,0,0,0
13,853,357,411,0,0,0,0,-3,0,0,0,0
14,854,412,474,0,0,0,0,-3,0,0,0,0
15,855,522,601,0,0,0,0,-3,0,0,0,0
16,856,467,537,0,0,0,0,-3,0,0,0,0
17,857,87,100,0,0,0,0,-3,0,0,0,0
18,858,144,165,0,0,0,0,-3,0,0,0,0
19,859,220,253,0,0,0,0,-3,0,0,0,0
20,860,0,0,14,20,0,0,-3,0,0,0,0
21,861,0,0,51,66,0,0,-3,0,0,0,0
22,862,0,0,123,154,0,0,-3,0,0,0,0
23,863,0,0,116,139,0,0,-3,0,0,0,0
24,864,0,0,169,194,0,0,-3,0,0,0,0
25,865,0,0,225,259,0,0,-3,0,0,0,0
26,866,0,0,220,259,0,0,-3,0,0,0,0
27,867,0,0,311,349,0,0,-3,0,0,0,0
28,868,0,0,227,272,0,0,-3,0,0,0,0
29,869,0,0,287,330,0,0,-3,0,0,0,0
30,870,0,0,354,407,0,0,-3,0,0,0,0
31,871,0,0,327,385,0,0,-3,0,0,0,0
32,872,0,0,477,549,0,0,-3,0,0,0,0
33,873,0,0,330,379,0,0,-3,0,0,0,0
34,874,0,0,385,442,0,0,-3,0,0,0,0
35,875,0,0,440,506,0,0,-3,0,0,0,0
36,876,0,0,75,86,0,0,-3,0,0,0,0
37,877,0,0,123,142,0,0,-3,0,0,0,0
38,878,0,0,206,237,0,0,-3,0,0,0,0
39,879,0,0,0,0,6,8,-3,0,0,0,0
40,880,0,0,0,0,11,14,-3,0,0,0,0
41,881,0,0,0,0,15,19,-3,0,0,0,0
42,882,0,0,0,0,21,25,-3,0,0,0,0
43,883,0,0,0,0,25,29,-3,0,0,0,0
44,884,0,0,0,0,35,40,-3,0,0,0,0
45,885,0,0,0,0,32,38,-3,0,0,0,0
46,886,0,0,0,0,35,40,-3,0,0,0,0
47,887,0,0,0,0,38,45,-3,0,0,0,0
48,888,0,0,0,0,42,48,-3,0,0,0,0
49,889,0,0,0,0,54,62,-3,0,0,0,0
50,890,0,0,0,0,47,55,-3,0,0,0,0
51,891,0,0,0,0,49,55,-3,0,0,0,0
52,892,0,0,0,0,56,64,-3,0,0,0,0
53,893,0,0,0,0,58,66,-3,0,0,0,0
54,894,0,0,0,0,67,77,-3,0,0,0,0
55,895,0,0,0,0,16,19,-3,0,0,0,0
56,896,0,0,0,0,25,29,-3,0,0,0,0
57,897,0,0,0,0,39,45,-3,0,0,0,0
58,898,13,18,13,18,0,0,-3,0,0,0,0
59,899,29,37,29,37,0,0,-3,0,0,0,0
60,900,46,58,46,58,0,0,-3,0,0,0,0
61,901,87,100,87,100,0,0,-3,0,0,0,0
62,902,75,86,75,86,0,0,-3,0,0,0,0
63,903,88,99,88,99,0,0,-3,0,0,0,0
64,904,102,120,102,120,0,0,-3,0,0,0,0
65,905,155,178,155,178,0,0,-3,0,0,0,0
66,906,122,140,122,140,0,0,-3,0,0,0,0
67,907,131,146,131,146,0,0,-3,0,0,0,0
68,908,154,177,154,177,0,0,-3,0,0,0,0
69,909,209,240,209,240,0,0,-3,0,0,0,0
70,910,148,170,148,170,0,0,-3,0,0,0,0
71,911,18,25,0,0,5,7,-3,0,0,0,0
72,912,43,56,0,0,11,14,-3,0,0,0,0
73,913,65,81,0,0,15,18,-3,0,0,0,0
74,914,62,73,0,0,13,16,-3,0,0,0,0
75,915,77,89,0,0,16,19,-3,0,0,0,0
76,916,127,142,0,0,27,30,-3,0,0,0,0
77,917,146,167,0,0,30,35,-3,0,0,0,0
78,918,113,133,0,0,23,27,-3,0,0,0,0
79,919,124,142,0,0,25,29,-3,0,0,0,0
80,920,186,208,0,0,38,43,-3,0,0,0,0
81,921,215,247,0,0,44,50,-3,0,0,0,0
82,922,147,169,0,0,30,34,-3,0,0,0,0
83,923,156,179,0,0,32,37,-3,0,0,0,0
84,924,0,0,13,18,4,6,-3,0,0,0,0
85,925,0,0,46,60,11,15,-3,0,0,0,0
86,926,0,0,56,70,13,16,-3,0,0,0,0
87,927,0,0,62,73,13,16,-3,0,0,0,0
88,928,0,0,120,135,26,29,-3,0,0,0,0
89,929,0,0,142,163,30,34,-3,0,0,0,0
90,930,0,0,122,144,25,30,-3,0,0,0,0
91,931,0,0,111,131,23,27,-3,0,0,0,0
92,932,0,0,195,218,40,45,-3,0,0,0,0
93,933,0,0,209,240,43,49,-3,0,0,0,0
94,934,0,0,181,209,37,43,-3,0,0,0,0
95,935,0,0,151,174,31,35,-3,0,0,0,0
96,936,0,0,242,278,49,57,-3,0,0,0,0
97,937,0,0,0,0,0,0,-3,0,0,0,0
98,938,9,13,0,0,0,0,0,0,0,0,0
99,939,38,50,0,0,0,0,0,0,0,0,0
100,940,92,115,0,0,0,0,0,0,0,0,0
101,941,130,150,0,0,0,0,0,0,0,0,0
102,942,174,195,0,0,0,0,0,0,0,0,0
103,943,198,233,0,0,0,0,0,0,0,0,0
104,944,237,272,0,0,0,0,0,0,0,0,0
105,945,276,325,0,0,0,0,0,0,0,0,0
106,946,346,381,0,0,0,0,0,0,0,0,0
107,947,377,434,0,0,0,0,0,0,0,0,0
108,948,373,429,0,0,0,0,0,0,0,0,0
109,949,431,496,0,0,0,0,0,0,0,0,0
110,950,501,576,0,0,0,0,0,0,0,0,0
111,951,582,669,0,0,0,0,0,0,0,0,0
112,952,0,0,19,27,0,0,0,0,0,0,0
113,953,0,0,53,69,0,0,0,0,0,0,0
114,954,0,0,101,127,0,0,0,0,0,0,0
115,955,0,0,150,172,0,0,0,0,0,0,0
116,956,0,0,203,227,0,0,0,0,0,0,0
117,957,0,0,232,266,0,0,0,0,0,0,0
118,958,0,0,276,325,0,0,0,0,0,0,0
119,959,0,0,346,381,0,0,0,0,0,0,0
120,960,0,0,369,425,0,0,0,0,0,0,0
121,961,0,0,380,437,0,0,0,0,0,0,0
122,962,0,0,431,496,0,0,0,0,0,0,0
123,963,0,0,501,576,0,0,0,0,0,0,0
124,964,0,0,582,669,0,0,0,0,0,0,0
125,965,0,0,0,0,7,10,0,0,0,0,0
126,966,0,0,0,0,12,15,0,0,0,0,0
127,967,0,0,0,0,20,25,0,0,0,0,0
128,968,0,0,0,0,28,33,0,0,0,0,0
129,969,0,0,0,0,36,40,0,0,0,0,0
130,970,0,0,0,0,41,48,0,0,0,0,0
131,971,0,0,0,0,49,55,0,0,0,0,0
132,972,0,0,0,0,55,64,0,0,0,0,0
133,973,0,0,0,0,60,68,0,0,0,0,0
134,974,0,0,0,0,73,84,0,0,0,0,0
135,975,0,0,0,0,80,92,0,0,0,0,0
136,976,0,0,0,0,87,100,0,0,0,0,0
137,977,0,0,0,0,101,116,0,0,0,0,0
138,978,0,0,0,0,117,134,0,0,0,0,0
139,979,13,18,13,18,0,0,0,0,0,0,0
140,980,37,48,37,48,0,0,0,0,0,0,0
141,981,64,80,64,80,0,0,0,0,0,0,0
142,982,90,97,90,97,0,0,0,0,0,0,0
143,983,98,116,98,116,0,0,0,0,0,0,0
144,984,117,134,117,134,0,0,0,0,0,0,0
145,985,138,155,138,155,0,0,0,0,0,0,0
146,986,160,189,160,189,0,0,0,0,0,0,0
