"rownum","i32_0","rid_4","bool_20","i32_21","bool_25","i32_26","i32_30","bool_34","i32_35","i32_39","i32_43","bool_47","i32_48","i32_52","i32_56","bool_60","bool_61","bool_62","rid_63","bool_79","rid_80","i32_96"
0,0,603,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","","","",0
1,1,604,1,19,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
2,2,614,1,6,"",2,4,1,0,15,45,1,0,0,0,"","","","","","",0
3,3,615,1,4,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
4,4,627,1,3,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
5,5,653,1,2,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
6,6,654,"",4,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
7,7,654,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
8,8,654,"",3,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
9,9,660,"",0,"",4,6,"",0,0,0,"",0,0,0,"","","","","","",0
10,10,686,"",14,"",4,7,"",2600,0,0,"",0,0,0,"","","","","","",0
11,11,688,"",0,"",4,7,"",0,0,0,"",0,220,0,"","","","","","",0
12,14,717,1,6,1,2,7,1,0,30,60,1,0,0,0,"","","","","","",0
13,15,703,"",1,1,4,2,1,0,0,0,"",90,0,0,"","","","","","",0
14,16,704,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
15,17,705,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
16,18,691,1,0,"",3,7,1,0,5,30,1,0,0,0,"","","","","","",0
17,19,725,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
18,20,725,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
19,21,725,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
20,22,725,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
21,23,715,"",7,1,2,7,"",200,0,0,"",0,0,0,"","","","","","",0
22,24,740,"",5,1,3,7,1,0,0,0,"",0,0,0,"","","","","","",0
23,25,766,1,9,"",2,4,1,0,20,60,1,0,45,0,"","","","","","",0
24,26,776,"",10,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
25,27,794,1,16,1,4,7,1,1000,5,20,1,0,0,0,"","","","","","",0
26,28,287,"",5,"",2,6,"",500,0,0,"",0,15,0,"","","","","","",0
27,29,802,"",0,"",2,7,"",0,0,0,"",0,15,0,"","","","","","",0
28,30,839,"",10,"",4,2,"",0,0,0,"",180,220,0,"","","","","","",0
29,31,841,"",7,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
30,32,803,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
31,33,804,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
32,34,805,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
33,35,806,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
34,36,807,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
35,37,808,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
36,38,809,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
37,39,810,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
38,40,811,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
39,41,812,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
40,42,813,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
