"rownum","i32","i32","string","string","[rid]","bool"
0,3,0,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_npc_primalist_01.arm","",[],1
1,1,0,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_npc_shaman_01.arm","",[],1
2,2,0,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_npc_warden_01.arm","",[],1
3,2,5,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_saplings_01.arm","",[],""
4,3,6,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_crow_01.arm","",[],""
5,2,20,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_harvest_02.arm","",[10072],""
6,3,20,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_harvest_01.arm","",[10072],""
7,2,12,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_dustpile_01.arm","",[],""
8,0,16,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_portal_01.arm","",[],""
9,0,17,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_spidernest_01.arm","",[],""
10,0,18,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_wolves_01.arm","",[],""
11,0,19,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_ambush_01.arm","",[],""
12,1,24,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_beyond_01.arm","",[10073],""
13,2,21,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_beyond_02.arm","",[10073],""
14,3,22,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_beyond_03.arm","",[10073],""
15,0,23,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_domination_01.arm","",[],""
16,3,24,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/shrine_gruthkul.arm","",[10070],""
17,2,25,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/shrine_sisters.arm","",[10070],""
18,1,26,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/shrine_lunaris.arm","",[10070],""
19,3,27,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/shrine_solaris.arm","",[10070],""
20,1,28,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_boss_01.arm","",[10071],""
21,0,29,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_finalboss_01.arm","genericsidearea=AzmeriLeagueBoss",[10071],""
22,1,20,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_harvest_03.arm","",[10072],""
23,3,32,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_dustpile_02.arm","",[],""
24,1,33,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_dustpile_03.arm","",[],""
25,2,1,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_treant_henge_01_01.arm","",[],""
26,2,50,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_treant_henge_02_01.arm","",[],""
27,2,49,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_treant_henge_03_01.arm","",[],""
28,2,2,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_treant_henge_01_02.arm","",[],""
29,2,3,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_treant_henge_01_03.arm","",[],""
30,2,4,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_treant_henge_01_04.arm","",[],""
31,3,1,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_gruthkul_blood_01_01.arm","",[],""
32,3,48,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_gruthkul_blood_02_01.arm","",[],""
33,3,47,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_gruthkul_blood_03_01.arm","",[],""
34,3,2,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_gruthkul_blood_01_02.arm","",[],""
35,3,3,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_gruthkul_blood_01_03.arm","",[],""
36,3,4,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_gruthkul_blood_01_04.arm","",[],""
37,1,1,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_01_01.arm","",[],""
38,1,2,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_01_02.arm","",[],""
39,1,3,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_01_03.arm","",[],""
40,1,4,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_01_04.arm","",[],""
