"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,19957,0,11,100,1,6,1,1
1,19958,0,50,100,3,6,1,1
2,20009,0,11,100,1,6,1,1
3,20013,0,11,100,1,6,1,1
4,20014,0,11,100,1,6,1,1
5,20015,0,11,100,1,6,1,1
6,20016,0,11,100,1,6,1,1
7,20021,0,11,100,1,6,1,1
8,20024,150,11,100,1,3,1,1
9,20025,150,25,100,4,5,1,1
10,20026,75,68,100,6,7,1,1
11,20027,150,11,100,1,3,1,1
12,20028,150,25,100,4,5,1,1
13,20029,75,68,100,6,7,1,1
14,20030,150,11,100,1,3,1,1
15,20031,150,25,100,4,5,1,1
16,20032,75,68,100,6,7,1,1
17,20023,75,68,100,3,6,1,1
18,20033,150,40,100,1,3,1,1
19,20034,75,68,100,4,5,1,1
20,20022,37,68,100,6,7,1,1
21,20011,0,11,100,1,3,1,1
22,20035,0,25,100,4,5,1,1
23,20036,0,68,100,6,7,1,1
24,20037,0,68,100,6,7,1,1
25,20017,0,11,100,1,3,1,1
26,20038,0,25,100,4,5,1,1
27,20039,0,68,100,6,7,1,1
28,20012,150,11,100,1,3,1,1
29,20040,75,40,100,4,5,1,1
30,20041,37,68,100,6,7,1,1
31,20018,150,11,100,1,6,1,1
32,20019,75,68,100,4,7,1,1
33,20042,150,68,100,3,7,1,1
