"rownum","string","rid","bool","bool"
0,"PickUpToCursor",2834,"",""
1,"PlaceFromCursor",2883,"",""
2,"Equip",2874,"",1
3,"UnEquip",2876,"",1
4,"Identify",2888,"",1
5,"Use",2868,"",1
6,"StartApplyMode",2868,"",1
7,"ApplyOnItem",7272,"",1
8,"EndApplyMode",7207,"",""
9,"Unstack",2871,"",""
10,"MoveToStash",2869,"",1
11,"TakeNPCItem",2870,"",1
12,"Buy",2884,"",1
13,"Sell",2885,"",""
14,"Discard",2873,"",""
15,"CorruptItem",6780,"",1
16,"CorruptGem",6780,"",1
17,"ApplyToWorldObject",2840,"",1
18,"BulkQuickMove",8580,"",""
19,"QuickMove",2891,"",""
20,"ReturnCursorHeldItem",7208,"",""
21,"BindToActionBar",2847,"",""
22,"EquipReplace",7217,"",""
23,"ReclaimSellItem",3126,"",""
24,"SocketSkillGem",2878,"",1
25,"LevelSkillGem",7238,"",""
26,"CraftUncutSkillGem",7267,"",1
27,"CraftUncutSupportGem",7268,"",1
28,"ChangeShownWeaponSet",7271,"",""
29,"ApplyOnItemOnce",2840,"",1
30,"RitualDeferItem",5636,"",1
31,"Disenchant",1182,"",1
32,"ShowUseItemFailedError",1,1,""
33,"CraftUncutReservationGem",7267,"",1
34,"TransferToOtherCouchCoopPlayer",7495,"",""
35,"OfferInTrade",4059,"",""
36,"LinkItemToChat",5158,"",""
37,"ShowQuest",7589,"",1
38,"QuickMoveActionButton",2891,"",1
39,"SalvageItem",7894,"",1
40,"OpenItemNoteEditor",3644,"",1
41,"PlaceJewelInEquipment",8369,"",""
42,"PickUpJewelFromEquipment",2834,"",""
43,"ManageEquipmentSockets",2877,"",""
44,"EndManageEquipmentSockets",111,"",""
45,"PlaceSingleFromCursor",8388,"",""
46,"CancelApplyMode",7207,"",""
47,"ViewTrialProgress",8392,"",""
48,"ApplyApplicableMTX",2840,"",1
49,"ReclaimItemSkin",5153,"",1
50,"PropagateEquipment",8471,"",""
