"rownum","QuestFlag","CompletionString","Boss","bool"
0,185,5007,"Atziri",""
1,978,5008,"UberAtziri",""
2,979,5009,"Shaper",""
3,980,5010,"Elder",""
4,981,5011,"UberElder",""
5,1898,6294,"Sirus",""
6,982,5047,"SiriusAL8",""
7,2183,5354,"Oshabi",""
8,2358,5705,"Maven",""
9,2609,6295,"SearingExarch",""
10,2610,6296,"EaterOfWorlds",""
11,2611,6297,"SotABossEvent",""
12,2616,6486,"UberEater",""
13,2617,6487,"UberExarch",""
14,2618,6488,"UberMaven",""
15,2622,6492,"UberShaper",""
16,2619,6489,"UberSirus",""
17,2621,6491,"UberUberElder",""
18,2620,6490,"UberVenarius",""
19,2615,6485,"UberUberBossEvent",""
20,3000,7521,"ActOneComplete",""
21,3725,7522,"ActTwoComplete",""
22,3907,7523,"ActThreeComplete",""
