"rownum","i32","i32","string","string","[rid]","bool"
0,2,5,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_saplings_01.arm","",[],""
1,2,12,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_dustpile_01.arm","",[],""
2,0,16,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_portal_01.arm","",[],""
3,0,17,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_spidernest_01.arm","",[],""
4,0,18,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_wolves_01.arm","",[],""
5,0,19,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_ambush_01.arm","",[],""
6,0,23,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_domination_01.arm","",[],""
7,3,24,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/shrine_gruthkul.arm","",[],""
8,2,25,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/shrine_sisters.arm","",[],""
9,1,26,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/shrine_lunaris.arm","",[],""
10,3,27,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/shrine_solaris.arm","",[],""
11,3,32,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_dustpile_02.arm","",[],""
12,1,33,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_dustpile_03.arm","",[],""
13,2,1,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_treant_henge_01_01.arm","",[],""
14,2,50,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_treant_henge_02_01.arm","",[],""
15,2,49,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_treant_henge_03_01.arm","",[],""
16,2,2,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_treant_henge_01_02.arm","",[],""
17,2,3,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_treant_henge_01_03.arm","",[],""
18,2,4,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_treant_henge_01_04.arm","",[],""
19,3,1,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_gruthkul_blood_01_01.arm","",[],""
20,3,48,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_gruthkul_blood_02_01.arm","",[],""
21,3,47,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_gruthkul_blood_03_01.arm","",[],""
22,3,2,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_gruthkul_blood_01_02.arm","",[],""
23,3,3,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_gruthkul_blood_01_03.arm","",[],""
24,3,4,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_gruthkul_blood_01_04.arm","",[],""
25,1,1,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_01_01.arm","",[],""
26,1,2,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_01_02.arm","",[],""
27,1,3,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_01_03.arm","",[],""
28,1,4,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_01_04.arm","",[],""
29,1,5,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_02_01.arm","",[],""
30,1,6,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_02_02.arm","",[],""
31,1,7,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_02_03.arm","",[],""
32,1,8,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_02_04.arm","",[],""
33,1,9,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_03_01.arm","",[],""
34,1,10,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_03_02.arm","",[],""
35,1,11,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_03_03.arm","",[],""
36,1,12,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_03_04.arm","",[],""
37,0,45,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_ambush_02.arm","",[],""
38,0,46,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_ambush_03.arm","",[],""
