"rownum","League","League2","StartPointArt","MidPointArt","EndPointArt","PathArt"
0,"Abyss","Abyss","Art/2DArt/UIImages/InGame/MemoryLines/AbyssStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/AbyssMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/AbyssEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/AbyssPath"
1,"Ambush","Ambush","Art/2DArt/UIImages/InGame/MemoryLines/AmbushStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/AmbushMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/AmbushEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/AmbushPath"
2,"Anarchy","Anarchy","Art/2DArt/UIImages/InGame/MemoryLines/AnarchyStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/AnarchyMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/AnarchyEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/AnarchyPath"
3,"Bestiary","Bestiary","Art/2DArt/UIImages/InGame/MemoryLines/BestiaryStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/BestiaryMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/BestiaryEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/BestiaryPath"
4,"Betrayal","Betrayal","Art/2DArt/UIImages/InGame/MemoryLines/BetrayalStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/BetrayalMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/BetrayalEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/BetrayalPath"
5,"Blight","Blight","Art/2DArt/UIImages/InGame/MemoryLines/BlightStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/BlightMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/BlightEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/BlightPath"
6,"Breach","Breach","Art/2DArt/UIImages/InGame/MemoryLines/BreachStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/BreachMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/BreachEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/BreachPath"
7,"Delirium","Delirium","Art/2DArt/UIImages/InGame/MemoryLines/DeliriumStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/DeliriumMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/DeliriumEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/DeliriumPath"
8,"Domination","Domination","Art/2DArt/UIImages/InGame/MemoryLines/DominationStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/DominationMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/DominationEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/DominationPath"
9,"Essence","Essence","Art/2DArt/UIImages/InGame/MemoryLines/EssenceStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/EssenceMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/EssenceEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/EssencePath"
10,"Expedition","Expedition","Art/2DArt/UIImages/InGame/MemoryLines/ExpeditionStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/ExpeditionMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/ExpeditionEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/ExpeditionPath"
11,"Harvest","Harvest","Art/2DArt/UIImages/InGame/MemoryLines/HarvestStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/HarvestMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/HarvestEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/HarvestPath"
12,"Heist","Heist","Art/2DArt/UIImages/InGame/MemoryLines/HeistStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/HeistMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/HeistEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/HeistPath"
13,"Incursion","Incursion","Art/2DArt/UIImages/InGame/MemoryLines/IncursionStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/IncursionMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/IncursionEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/IncursionPath"
14,"Legion","Legion","Art/2DArt/UIImages/InGame/MemoryLines/LegionStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/LegionMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/LegionEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/LegionPath"
15,"Metamorph","Metamorph","Art/2DArt/UIImages/InGame/MemoryLines/MetamorphStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/MetamorphMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/MetamorphEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/MetamorphPath"
16,"Ritual","Ritual","Art/2DArt/UIImages/InGame/MemoryLines/RitualStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/RitualMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/RitualEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/RitualPath"
17,"Torment","Torment","Art/2DArt/UIImages/InGame/MemoryLines/TormentStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/TormentMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/TormentEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/TormentPath"
18,"Harbinger","Harbinger","Art/2DArt/UIImages/InGame/MemoryLines/HarbingerStartPoints","Art/2DArt/UIImages/InGame/MemoryLines/HarbingerMidPoint","Art/2DArt/UIImages/InGame/MemoryLines/HarbingerEndPoint","Art/2DArt/UIImages/InGame/MemoryLines/HarbingerPath"
