"rownum","rid","rid","[rid]"
0,18665,21665,[18669]
1,18666,21668,[18669]
2,18667,21669,[18669]
3,18668,21670,[18669]
4,18680,807,[]
5,18681,808,[]
6,18682,809,[]
7,18683,810,[]
8,18684,811,[]
9,18685,812,[]
10,18686,813,[]
11,18687,814,[]
12,18688,815,[]
13,18689,816,[]
14,18690,824,[]
15,18691,825,[]
16,18692,826,[]
17,18693,827,[]
18,18694,828,[]
19,18695,829,[]
20,18696,830,[]
21,18697,831,[]
22,18698,832,[]
23,18699,833,[]
24,18700,820,[]
25,18701,837,[]
26,18702,17568,[]
27,18703,316,[]
28,18704,17569,[]
29,18705,317,[]
30,18706,312,[]
31,18707,313,[]
