"rownum","Id","Reward","Icon","Downside","Item"
0,"MerchantHeal","Restore {0} Honour","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/MerchantHealingFlask","",""
1,"GainRandomMinorBoonGainRandomMinorAffliction","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainRandomMinorBoonGainRandomMinorAffliction","",""
2,"GainSpecMajorBoonGainThreeRandomAfflictions","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonGainThreeRandomAfflictions","",""
3,"GainSpecMajorBoonLoseRandomMinorBoon","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonLoseRandomMinorBoon","",""
4,"GainSpecMinorBoonGainRandomMinorAffliction","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMinorBoonGainRandomMinorAffliction","",""
5,"GainSpecMinorBoonGainSpecMinorAffliction","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMinorBoonGainSpecMinorAffliction","",""
6,"GainThreeRandomMinorBoonsGainSpecMajorAffliction","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainThreeRandomMinorBoonsGainSpecMajorAffliction","",""
7,"LoseRandomMinorAfflictionLoseRandomMinorBoon","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseRandomMinorAfflictionLoseRandomMinorBoon","",""
8,"LoseSpecMinorAfflictionGainRandomMinorAffliction","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseSpecMinorAfflictionGainRandomMinorAffliction","",""
9,"LoseSpecMinorAfflictionLoseSpecificMinorBoon","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseSpecMinorAfflictionLoseSpecificMinorBoon","",""
10,"TakeDamageMinorBoonSpecific","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonTakeSmallDamage","",""
11,"TakeDamageMajorBoonSpecific","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonTakeLargeDamage","",""
12,"TakeDamageMinorBoonRandom","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainRandomMajorBoonTakeSmallDamage","",""
13,"TakeDamageMajorBoonRandom","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainRandomMajorBoonTakeLargeDamage","",""
14,"GainWaterLoseMinorBoon","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonLoseRandomMinorBoon","",""
15,"PurchaseRelic1x2","Urn Relic","","",1709
16,"PurchaseRelic1x3","Amphora Relic","","",1710
17,"PurchaseRelic1x4","Vase Relic","","",1711
18,"PurchaseRelic2x1","Seal Relic","","",1712
19,"PurchaseRelic2x2","Coffer Relic","","",1713
20,"PurchaseRelic3x1","Tapestry Relic","","",1714
21,"PurchaseRelic4x1","Incense Relic","","",1715
