"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool"
0,"Metadata/Pet/Kiwi/Basic",4166,2086311012,583742,0,1,"",0,3801088,0,0,0,0,4849664,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
1,"Metadata/Pet/Kiwi/Bronze",4167,-2085573226,536102,0,1,"",0,8257536,0,0,0,0,9306112,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
2,"Metadata/Pet/Kiwi/Silver",4168,1606067348,588590,0,1,"",0,12713984,0,0,0,0,13762560,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
3,"Metadata/Pet/Kiwi/Gold",4169,-2014188486,551883,0,1,"",0,16908288,0,0,0,0,17956864,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
4,"Metadata/Pet/Kiwi/Diamond",4170,1142770207,593410,0,1,"",0,21495808,0,0,0,0,22544384,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",""
5,"Metadata/Pet/Basilisk/Green",4143,1328673223,573174,0,1,"",0,26345472,0,0,0,0,27394048,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
6,"Metadata/Pet/Basilisk/Infernal",4144,-2105176920,527917,0,1,"",0,31588352,0,0,0,0,32636928,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
7,"Metadata/Pet/Basilisk/Spectral",4145,263865108,543918,0,1,"",0,36831232,0,0,0,0,37879808,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
8,"Metadata/Pet/Frog/Blue",4146,-485387575,553432,0,1,"",0,41025536,0,0,0,0,42074112,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
9,"Metadata/Pet/Frog/BlueCrown",4147,-520372982,548337,0,1,"",0,45875200,0,0,0,0,46923776,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
10,"Metadata/Pet/Frog/Green",4148,-1585650203,541849,0,1,"",0,50200576,0,0,0,0,51249152,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
11,"Metadata/Pet/Frog/GreenCrown",4149,688166190,572458,0,1,"",0,55181312,0,0,0,0,56229888,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
12,"Metadata/Pet/Frog/Red",4150,809810393,559517,0,1,"",0,59244544,0,0,0,0,60293120,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"",1
