"rownum","Id","UnavailablePin","AvailablePin","ActivePin","FailedPin","CompletePin"
0,"DefaultMap",8654,8655,8656,8655,8658
1,"DefaultTower",8659,8660,8661,8660,8663
2,"BaseCamp",8664,8664,8664,8664,8664
3,"CorruptedMap",8670,8671,8672,8671,8674
4,"CorruptedTower",8675,8676,8677,8676,8679
5,"CleansedTower",8680,8681,8682,8681,8663
6,"UniqueMap",9195,9192,9191,9194,9193
7,"CorruptedUniqueMap",9195,9192,9191,9194,9193
8,"IronCitadel",8695,8684,8685,8686,8687
9,"CorruptedIronCitadel",8696,8689,8690,8691,8692
10,"CopperCitadel",8693,8684,8685,8686,8687
11,"CorruptedCopperCitadel",8694,8689,8690,8691,8692
12,"StoneCitadel",8697,8684,8685,8686,8687
13,"CorruptedStoneCitadel",8698,8689,8690,8691,8692
14,"UniqueMapWildwood",9200,9197,9196,9199,9198
15,"UniqueMapMegalith",9205,9202,9201,9204,9203
16,"UniqueMapLake",9215,9212,9211,9214,9213
17,"UniqueMapSelenite",9210,9207,9206,9209,9208
18,"UniqueMapVault",9220,9217,9216,9219,9218
19,"UniqueMapCastaway",9225,9222,9221,9224,9223
