"rownum","Mod","Categories","DestroyAchievements"
0,4441,[3],[]
1,4448,[3],[]
2,4447,[3],[]
3,4455,[3],[]
4,4442,[0],[]
5,4443,[2],[]
6,4444,[0],[]
7,4453,[0],[]
8,4445,[2],[]
9,4446,[0],[]
10,4454,[0],[]
11,4452,[0],[]
12,4456,[0],[]
13,4440,[0],[]
14,4449,[3],[]
15,4450,[3],[]
16,4451,[3],[]
17,4457,[0],[]
18,4458,[0],[]
19,4459,[0],[]
20,4407,[0],[]
21,4408,[0],[]
22,4409,[0],[]
23,4410,[0],[]
24,4411,[0],[]
25,4412,[0],[]
26,4413,[0],[]
27,4414,[0],[]
28,4415,[0],[]
29,4416,[0],[]
30,4417,[0],[]
31,4418,[1],[]
32,4419,[0],[]
33,4420,[0],[]
34,4421,[0],[]
35,4422,[1],[]
36,4423,[0],[]
37,4424,[0],[]
38,4425,[0],[]
39,4426,[0],[]
40,4427,[0],[]
41,4428,[0],[]
42,4429,[0],[]
43,4430,[0],[]
44,4431,[0],[]
45,4432,[0],[]
46,4433,[0],[]
47,4434,[0],[]
48,4435,[0],[]
49,4436,[0],[]
50,4437,[0],[]
51,4438,[0],[]
52,4439,[0],[]
