"rownum","BaseItemTypesKey","ArmourMin","ArmourMax","EvasionMin","EvasionMax","EnergyShieldMin","EnergyShieldMax","IncreasedMovementSpeed","WardMin","WardMax","i32","i32"
0,5741,9,12,0,0,0,0,-3,0,0,0,0
1,5742,36,47,0,0,0,0,-3,0,0,0,0
2,5743,53,66,0,0,0,0,-3,0,0,0,0
3,5744,94,113,0,0,0,0,-3,0,0,0,0
4,5745,151,173,0,0,0,0,-3,0,0,0,0
5,5746,237,260,0,0,0,0,-3,0,0,0,0
6,5747,188,216,0,0,0,0,-3,0,0,0,0
7,5748,177,209,0,0,0,0,-3,0,0,0,0
8,5749,230,265,0,0,0,0,-3,0,0,0,0
9,5750,290,324,0,0,0,0,-3,0,0,0,0
10,5751,397,437,0,0,0,0,-3,0,0,0,0
11,5752,293,337,0,0,0,0,-3,0,0,0,0
12,5753,261,308,0,0,0,0,-3,0,0,0,0
13,5754,357,411,0,0,0,0,-3,0,0,0,0
14,5755,412,474,0,0,0,0,-3,0,0,0,0
15,5756,522,601,0,0,0,0,-3,0,0,0,0
16,5757,467,537,0,0,0,0,-3,0,0,0,0
17,5758,87,100,0,0,0,0,-3,0,0,0,0
18,5759,144,165,0,0,0,0,-3,0,0,0,0
19,5760,220,253,0,0,0,0,-3,0,0,0,0
20,5761,0,0,14,20,0,0,-3,0,0,0,0
21,5762,0,0,51,66,0,0,-3,0,0,0,0
22,5763,0,0,123,154,0,0,-3,0,0,0,0
23,5764,0,0,116,139,0,0,-3,0,0,0,0
24,5765,0,0,169,194,0,0,-3,0,0,0,0
25,5766,0,0,225,259,0,0,-3,0,0,0,0
26,5767,0,0,220,259,0,0,-3,0,0,0,0
27,5768,0,0,311,349,0,0,-3,0,0,0,0
28,5769,0,0,227,272,0,0,-3,0,0,0,0
29,5770,0,0,287,330,0,0,-3,0,0,0,0
30,5771,0,0,354,407,0,0,-3,0,0,0,0
31,5772,0,0,327,385,0,0,-3,0,0,0,0
32,5773,0,0,477,549,0,0,-3,0,0,0,0
33,5774,0,0,330,379,0,0,-3,0,0,0,0
34,5775,0,0,385,442,0,0,-3,0,0,0,0
35,5776,0,0,440,506,0,0,-3,0,0,0,0
36,5777,0,0,75,86,0,0,-3,0,0,0,0
37,5778,0,0,123,142,0,0,-3,0,0,0,0
38,5779,0,0,206,237,0,0,-3,0,0,0,0
39,5780,0,0,0,0,6,8,-3,0,0,0,0
40,5781,0,0,0,0,11,14,-3,0,0,0,0
41,5782,0,0,0,0,15,19,-3,0,0,0,0
42,5783,0,0,0,0,21,25,-3,0,0,0,0
43,5784,0,0,0,0,25,29,-3,0,0,0,0
44,5785,0,0,0,0,35,40,-3,0,0,0,0
45,5786,0,0,0,0,32,38,-3,0,0,0,0
46,5787,0,0,0,0,35,40,-3,0,0,0,0
47,5788,0,0,0,0,38,45,-3,0,0,0,0
48,5789,0,0,0,0,42,48,-3,0,0,0,0
49,5790,0,0,0,0,54,62,-3,0,0,0,0
50,5791,0,0,0,0,47,55,-3,0,0,0,0
51,5792,0,0,0,0,49,55,-3,0,0,0,0
52,5793,0,0,0,0,56,64,-3,0,0,0,0
53,5794,0,0,0,0,58,66,-3,0,0,0,0
54,5795,0,0,0,0,67,77,-3,0,0,0,0
