"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[6200,6163,6178,1,1]","[6200,6200,1,1]","[6200,6163,6178,1,1]","[6200,6200,1,1]","[6200,6163,6178,1,1]","[6200,6200,1,1]","[6200,6163,6178,1,1]","[6200,6200,1,1]","[6200,6163,6178,1,1]","[6200,6200,1,1]","[6200,6163,6178,1,1]","[6200,6200,1,1]",1324,"[6200,6163,6178,1,1]","[6200,6200,1,1]"
1,"Descent2","[6540,6676,6,5726,6711]","[6540,6676,10,11,11,5725,6711]","[6540,6676,6,5726,6711]","[6540,6676,10,11,11,5725,6711]","[6423,6539,6425,6,5726,6688]","[6423,6539,6425,10,11,11,5725,6688]","[6537,6,5726,6699,6694]","[6537,10,11,11,5725,6699,6694]","[6546,6,5726,6699,6694]","[6546,10,11,11,5725,6699,6694]","[6676,6546,6540,6,5726,6694,6711]","[6676,6546,6540,10,11,11,5725,6694,6711]",1325,"[6540,6546,6676,6,5726,6711,6694]","[6540,6546,6676,10,11,11,5725,6694,6711]"
2,"Descent3","[10,15,10,15,6164,6179,5672,5673,5674,5629,5629,5603,5440,5440,5742]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5630,5631,5603,5440,5440,5742]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5629,5387,5357,5578,5553]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5630,5631,5387,5357,5578,5553]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5629,5387,5387,5496,6218]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5630,5631,5387,5387,5496,6218]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5629,5298,5298,5272,5272]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5630,5631,5298,5298,5272,5272]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5629,5272,5272,5468,5468]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5630,5631,5272,5272,5468,5468]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5629,5468,5468,5525]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5630,5631,5468,5468,5525]",1326,"[10,15,10,15,6164,6179,5672,5673,5674,5629,5629,5468,5468,5578,5357,5357]","[10,15,10,15,6164,6179,5672,5673,5674,5629,5630,5631,5468,5468,5578,5357,5357]"
3,"Descent4","[5671,10,14,1,1,1,6564,6428]","[6,6,6564,6428]","[5671,10,14,1,1,1,6564,6428]","[6,6,6564,6428]","[5671,10,14,1,1,1,6431,6434,6428]","[6,6,6434,6431,6428]","[5671,10,14,1,1,1,6431,6437,6434,6573,6703]","[6,6,6431,6434,6437,6573,6703]","[5671,10,14,1,1,1,6437,6431,6434,6703]","[6,6,6434,6437,6431,6703]","[5671,10,14,1,1,1,6437,6428,6564]","[6,6,6428,6437,6564]",1327,"[5671,10,14,1,1,1,6434,6437,6428]","[6,6,6428,6437,6434]"
4,"Descent5","[6402,0,0,0,0,6,2]","[6402,0,0,0,0,10,11,11,11,11,15,15]","[6402,0,0,0,0,6,2,6416]","[6402,0,0,0,0,10,11,11,11,11,15,15,6416]","[6660,6416,0,0,0,0,6,2]","[6660,6416,0,0,0,0,10,11,11,11,11,15,15]","[6485,0,0,0,0,6,2,6674,6524]","[6674,0,0,0,0,10,11,11,11,11,15,15,6485,6524]","[6485,6674,0,0,0,0,6,2,6524]","[6485,6674,0,0,0,0,10,11,11,11,11,15,15,6524]","[6674,0,0,0,0,6,2,6485,6670,6402]","[6402,6670,0,0,0,0,10,11,11,11,11,15,15,6674,6485]",1328,"[6674,0,0,0,0,6,2,6402,6485]","[6402,0,0,0,0,10,11,11,11,11,15,15,6485,6674]"
5,"Descent6","[5634,6405,6165,6180,6,6,6708]","[5634,6165,6180,6405,11,11,11,11,15,15,6708]","[5634,6405,6165,6180,6570,6,6,6708]","[5634,6570,6165,6180,6405,11,11,11,11,15,15,6708]","[5634,6493,6570,6165,6180,6510,6,6]","[5634,6570,6510,6165,6180,6493,11,11,11,11,15,15]","[5634,6575,6165,6180,6593,6601,6,6,6702,6690]","[5634,6165,6180,6593,6601,6575,11,11,11,11,15,15,6702,6690]","[5634,6511,6165,6180,6601,6504,6401,6,6,6702,6690]","[5634,6401,6165,6180,6504,6601,6511,11,11,11,11,15,15,6702,6690]","[5634,6504,6165,6180,6401,6405,6566,6,6,6708]","[5634,6165,6180,6405,6401,6504,6566,11,11,11,11,15,15,6708]",1329,"[5634,6165,6180,6504,6405,6,6,6708]","[5634,6165,6180,6504,6405,11,11,11,11,15,15,6708]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5442,5442,5743,5604]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5442,5442,5743,5604]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5554,5579,5389,5358]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5554,5579,5389,5358]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5498,5389,5389,6218]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,5498,5389,5389,6218]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5273,5273,5300,5300]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5273,5273,5300,5300]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5273,5273,5470,5470]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5273,5273,5470,5470]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5470,5470,5526]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5470,5470,5526]",1330,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5470,5470,5358,5358,5579]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5470,5470,5358,5358,5579]"
7,"Descent8","[6649,6410,6544,5633,5635,5678,5679,5677,2,6,11]","[6649,6410,6544,5633,5635,5678,5679,5677,12,12,10,10,10,11]","[6649,6410,6544,5633,5635,5678,5679,5677,2,6,11]","[6649,6410,6544,5633,5635,12,12,10,10,10,11,5678,5679,5677]","[6649,6650,6417,6544,5633,5635,5678,5679,5677,2,6,11]","[6649,6650,6417,6544,5633,5635,12,12,10,10,10,11,5678,5679,5677]","[6651,6650,6544,5633,5635,5678,5679,5677,2,6,11]","[6651,6650,6544,5633,5635,12,12,10,10,10,11,5678,5679,5677]","[6651,6650,5633,5635,5678,5679,5677,2,6,11]","[6651,6650,5633,5635,12,12,10,10,10,11,5678,5679,5677]","[6649,6651,6410,5633,5635,5678,5679,5677,2,6,11]","[6649,6651,6410,5633,5635,12,12,10,10,10,11,5678,5679,5677]",1331,"[6650,6651,6649,5633,5635,5678,5679,5677,2,6,11]","[6650,6651,6649,5633,5635,12,12,10,10,10,11,5678,5679,5677]"
8,"Descent9","[4,4,4,6,6,5727,5919,6095,5841,6024,6471,6166,6181,6429,6501,4]","[5725,0,0,0,6,6,5605,5443,5744,6429,6501,6166,6181,6471,5443,0]","[4,4,4,6,6,5727,5971,6131,5872,6061,6471,6166,6181,6429,6501,4]","[5725,0,0,0,6,6,5580,5390,6501,6429,6166,6181,6471,5555,5360,0]","[4,4,4,6,6,5727,5937,6107,5852,6037,6599,6166,6181,6429,6501,6471,4]","[5725,0,0,0,6,6,5499,6218,6501,6429,6166,6181,5390,5390,6599,6471,0]","[4,4,4,6,6,5727,6005,6147,5899,6077,6494,6166,6181,6474,6682,4]","[5725,0,0,0,6,6,5726,5301,5301,6474,6682,6166,6181,6494,5274,5274,0]","[4,4,4,6,6,5727,5954,6119,5862,6049,6474,6166,6181,6494,4]","[5725,0,0,0,6,6,5726,6494,6166,6181,6474,5274,5274,5471,5471,0]","[4,4,4,6,6,5727,5988,6139,5885,6069,6474,6471,6166,6181,6429,6494,6501,4]","[5725,0,0,0,6,6,5726,5471,5471,6494,6501,6166,6181,6429,6471,6474,5527,0]",1332,"[4,4,4,6,6,5727,5971,6131,5872,6061,6474,6471,6166,6181,6494,6429,6501,4]","[5725,0,0,0,6,6,5580,6494,6429,6166,6181,6474,6501,6471,5471,5471,5360,5360,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1333,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
