"rownum","Item","Pack","Description"
0,11265,14,"Pack monsters are Harmless Frogs"
1,11266,16,"Pack monsters are Rats"
2,11267,485,"Pack monsters can drop Splinters of Xoph"
3,11268,486,"Pack monsters can drop Splinters of Tul"
4,11269,487,"Pack monsters can drop Splinters of Esh"
5,11270,488,"Pack monsters can drop Splinters of Uul'Netol"
6,11271,489,"Pack monsters can drop Splinters of Chayula"
7,11272,490,"Pack monsters reward Sulphite on death"
8,11273,491,"Pack Monsters can drop Karui Tattoos"
9,11274,492,"Pack Monsters can drop Karui Tattoos"
10,11275,493,"Pack Monsters can drop Karui Tattoos"
11,11276,494,"Pack Monsters can drop Karui Tattoos"
12,11277,495,"Pack Monsters can drop Karui Tattoos"
13,11278,496,"Pack Monsters can drop Karui Tattoos"
14,11279,497,"Pack Monsters can drop Karui Tattoos"
15,11280,498,"Pack Monsters can drop Karui Tattoos"
16,11281,499,"Pack Monsters can drop Karui Tattoos"
17,11282,500,"Pack Monsters can drop Karui Tattoos"
18,11283,501,"Pack monsters can drop Abyssal Jewels"
19,11284,502,"Pack monsters can drop Tainted Currency"
20,11285,503,"Pack monsters can drop Tainted Currency"
21,11286,504,"Pack monsters can drop Tainted Currency"
22,11287,505,"Gemling Pack Leader drops an additional Quality Gem"
23,11288,506,"Gemling Pack Leader drops an additional Quality Gem"
24,11289,507,"Gemling Pack Leader drops an additional Quality Gem"
25,11290,508,"Gemling Pack Leader drops an additional Quality Gem"
26,11291,509,"Gemling Pack Leader drops an additional Quality Gem"
27,11292,510,"Pack monsters can drop Broken Circle Artifacts"
28,11293,511,"Pack monsters can drop Order of the Chalice Artifacts"
29,11294,512,"Pack monsters can drop Black Scythe Artifacts"
30,11295,513,"Pack monsters can drop Knights of the Sun Artifacts"
31,11296,514,"Monster has greatly increased Life"
32,11297,515,"Pack monsters reward greatly increased Experience"
33,11298,516,"Pack monsters reward greatly increased Experience"
34,11299,517,"Pack monsters reward greatly increased Experience"
35,11300,518,"Pack monsters reward greatly increased Experience"
36,11301,519,"Pack monsters reward greatly increased Experience"
37,11302,520,"Pack monsters reward greatly increased Experience"
38,11303,521,"Pack monsters reward greatly increased Experience"
39,11304,522,"Pack monsters can drop Omens"
40,11305,523,"Pack monsters can drop Omens"
41,11306,524,"Pack monsters can drop Omens"
42,11307,525,"Pack monsters can drop Timeless Karui Splinters "
43,11308,526,"Pack monsters can drop Timeless Eternal Empire Splinters "
44,11309,527,"Pack monsters can drop Timeless Maraketh Splinters "
45,11310,528,"Pack monsters can drop Timeless Templar Splinters "
46,11311,529,"Pack monsters can drop Timeless Vaal Splinters "
47,11332,530,"Pack monsters can drop Contracts and Rogue Markers\r\nPack monsters a have chance to leave corpses with a Special Craft"
48,11333,531,"Pack monsters can drop Shaper Influenced items"
49,11334,532,"Pack monsters can drop Elder Influenced items"
50,11335,536,"Pack monsters can drop Warlord Influenced items"
51,11336,534,"Pack monsters can drop Redeemer Influenced items"
52,11337,533,"Pack monsters can drop Crusader Influenced items"
53,11338,535,"Pack monsters can drop Hunter Influenced items"
54,11339,933,"Pack monsters can drop Omens\r\nPack monsters a have chance to leave corpses with a Special Craft"
55,11340,934,"Pack monsters can drop Expedition Artifacts\r\nPack monsters a have chance to leave corpses with a Special Craft"
56,11341,935,"Pack monsters can drop Abyssal Jewels\r\nPack monsters a have chance to leave corpses with a Special Craft"
57,11342,936,"Pack monsters a have chance to leave corpses with a Special Craft"
58,11343,945,"Pack monsters can drop Catalysts"
59,11344,946,"Pack monsters can drop Catalysts"
60,11345,937,"Pack monsters drop Currency Items"
61,11346,938,"Extra Monster drops Socket related Currency\r\nExtra Monster drops fully Linked items"
62,11347,939,"Pack is composed of Rogue Exiles"
63,11348,940,"Pack monsters can drop Scarabs"
64,11349,941,"Pack monsters can drop Scarabs"
65,11350,942,"Pack monsters can drop Scarabs"
66,11351,943,"Pack monsters can drop Scarabs"
67,11352,944,"Pack monsters can drop Fractured Items"
68,11353,948,"Pack monsters a have chance to leave corpses with a Special Craft"
69,11354,947,"Pack monsters can drop Breach Splinters\r\nPack monsters a have chance to leave corpses with a Special Craft"
