"rownum","rid","[rid]","[rid]","[rid]","[rid]","i32"
0,18117,[],[],[1922],[],3
1,9928,[],[],[1114],[],3
2,9927,[],[],[1113],[],3
3,4125,[],[],[550],[],3
4,4166,[],[],[552],[],3
5,13290,[],[],[1435],[],3
6,10767,[],[],[843],[],3
7,17686,[2583],[],[],[],3
8,18181,[],[],[],"[568,569]",3
9,18249,[3590],[],[],[],3
10,18454,[],[],[1945],[],3
11,10296,[],[],[485],[],3
12,18678,"[1728,1729,74]",[],[],[],3
13,18956,[3590],[],[],[],3
14,4135,[],[],[575],[],3
15,19027,[7242],[],[],[],3
16,19028,[7243],[],[],[],3
17,19029,[7244],[],[],[],3
18,18422,[],[],[],[589],1
19,18736,[],[],[],[608],1
20,19088,[],[],[2043],[],3
21,19353,"[7369,7370,7371]","[1350,1351]",[],[648],3
22,12168,[],[],[1337],[],3
23,19159,[7304],[],[2033],[],3
24,19076,[],[],[2026],[],3
