"rownum","WorldArea","CapturedVessel","QuestFlag","CapturedMonster","PanelLayout","CapturedMonsterDescription","rid","i32"
0,1141,9812,1389,[1051],0,"",1324,0
1,1244,9813,1390,[5331],0,"",1325,0
2,1181,9814,1391,[73],0,"",1326,0
3,1215,9815,1392,[5987],1,"",1327,0
4,1243,9816,1393,[5572],1,"",1328,0
5,1138,9817,1394,[2484],1,"",1329,0
6,1119,9818,1395,[4120],2,"",1330,0
7,1140,9819,1396,[2445],2,"",1331,0
8,1183,9820,1397,[5515],2,"",1332,0
9,1175,9821,1398,[5491],3,"",1333,0
10,1261,9822,1399,[8481],3,"",1334,0
11,1155,9823,1400,[3214],3,"",1335,0
12,1269,9824,1402,[6477],6,"",1336,0
13,1143,9825,1405,[5861],8,"",1337,0
14,1157,9826,1406,[1517],9,"",1338,0
15,1232,9827,1407,[6088],10,"",1339,0
16,1189,9828,1401,[5610],11,"",1340,0
17,1134,9829,1404,[5556],13,"",1341,0
18,1097,9830,1408,[2363],14,"",1342,0
19,1259,9831,1403,[8441],15,"",1343,0
