"rownum","Type","Items"
0,0,"[9896,9898,9897,9899]"
1,1,"[9867,9868,9869,9870,9871]"
2,2,"[9876,9877,9880,9879,9878]"
3,3,"[9885,9886,9887]"
4,4,"[9923,9925,9924]"
5,5,"[9930,9931,9932]"
6,6,"[9937,9938,9939,9940,9941]"
7,7,"[9946,9947,9949,9948]"
8,8,"[9963,9964,9965,9966,9967]"
9,9,"[9916,9917,9918]"
10,10,"[10024,10025,10026,10027]"
11,11,"[9980,9981,9982,9983]"
12,12,"[9908,9909,9911,9910]"
13,14,"[9984,9985,9986]"
14,15,"[10028,10029,10030,10031,10032]"
15,16,"[10019,10020,10021,10022,10023]"
16,23,"[10009,10010,10011,10013,10012]"
17,17,"[9995,9996,9997]"
18,18,"[9998,10000,9999]"
19,19,"[9992,9993,9991,9994]"
20,20,"[10005,10006,10008,10007]"
21,13,"[10014,10015,10016,10017,10018]"
22,21,"[9987,9988,9990,9989]"
23,24,"[9954,9955,9956,9958,9957]"
24,22,"[10001,10002,10003,10004]"
25,25,"[10033,10034,10035,10036,10037,10038,10039]"
