"rownum","BaseItemType","Scaling","Name"
0,10216,0.85,"Bazira"
1,10217,0.85,"Tsvet Matvei"
2,10218,0.85,"Bazira"
3,10219,0.85,"Count Geonor"
4,10220,0.85,"The Crimson Scribe"
5,10221,0.85,"The Midnight Tinkerer"
6,10222,0.85,"Aline Koltz"
7,10223,0.85,"Tsvet Matvei"
8,10224,0.85,"Administrator Qotra"
9,10225,0.85,"Count Geonor"
10,10226,0.85,"Nishem"
11,10227,0.85,"Aline Koltz"
12,10228,0.85,"Count Geonor"
13,10229,0.85,"Marcine Clavus"
14,10230,0.85,"Marcine Clavus"
15,10231,0.85,"Marcine Clavus"
16,10232,0.85,"Marcine Clavus"
17,10233,0.85,"Marcine Clavus"
18,10234,1.2,"Selwyn Eddard"
19,10235,1.2,"Kondor Larcius"
20,10236,1.2,"Grond Ironeye"
21,10237,1.2,"Bazira"
22,10238,1.2,"Bazira"
23,10239,1.2,"Kondor Larcius"
24,10240,1.2,"The Crimson Scribe"
25,10241,1.2,"Administrator Qotra"
26,10242,1.2,"Administrator Qotra"
27,10243,1.2,"The Crimson Scribe"
28,10244,1.2,"Remus Hestor"
29,10245,1.2,"Nishem"
30,10246,1.2,"The Crimson Scribe"
31,10247,1.2,"Anton Laffrey"
32,10248,1.5,"Tsvet Matvei"
33,10249,1.5,"Kondor Larcius"
34,10250,1.5,"The Midnight Tinkerer"
35,10251,1.5,"Bazira"
36,10252,1.5,"Kondor Larcius"
37,10253,1.5,"The Crimson Scribe"
38,10254,3,"Administrator Qotra"
39,10255,3,"Cardinal Uthelius"
40,10256,3,"Castor Pollinius III"
41,10257,0.3,""
42,10258,0.3,""
43,10259,0.3,""
44,10260,0.3,""
45,10261,0.3,""
46,10262,0.3,""
47,10263,0,"Karst"
48,10264,0,"Karst"
49,10265,0,"Karst"
50,10266,0,"Tibbs"
51,10267,0,"Tibbs"
52,10268,0,"Huck"
53,10269,0,"Huck"
54,10270,0,"Vinderi"
55,10271,0,"Vinderi"
56,10272,0,"Gianna"
57,10273,0,"Gianna"
58,10274,0,"Tullina"
59,10275,0,"Tullina"
60,10276,0,"Niles"
61,10277,0,"Niles"
62,10278,0,"Nenet"
63,10279,0,"Nenet"
64,10280,0,"Isla"
65,10281,0,"Isla"
66,10282,0,"Isla"
67,10283,0,"Adiyah"
68,10284,0,"Adiyah"
69,10285,0,"Adiyah"
70,10286,0,"Whakano"
71,10287,0,"Whakano"
72,10288,0,"Whakano"
73,10289,0,"Faustus"
74,10291,0,"Faustus"
75,10292,0,"Faustus"
76,10293,0,"Kurai"
77,10294,0,"Kurai"
78,10295,0,"Kurai"
79,10296,0,"Kurai"
