"rownum","MTX","Tier","Description","DDSFile","i32","string"
0,4390,1,"Orb of Transmutation","Art/2DItems/Currency/CurrencyUpgradeToMagic.dds",42,""
1,4390,2,"Orb of Augmentation","Art/2DItems/Currency/CurrencyAddModToMagic.dds",43,""
2,4390,3,"Orb of Alteration","Art/2DItems/Currency/CurrencyRerollMagic.dds",55,""
3,4390,4,"Orb of Chance","Art/2DItems/Currency/CurrencyUpgradeRandomly.dds",44,""
4,4390,5,"Orb of Alchemy","Art/2DItems/Currency/CurrencyUpgradeToRare.dds",45,""
5,4390,6,"Chaos Orb","Art/2DItems/Currency/CurrencyRerollRare.dds",46,""
6,4390,7,"Orb of Scouring","Art/2DItems/Currency/CurrencyConvertToNormal.dds",53,""
7,4390,8,"Orb of Regret","Art/2DItems/Currency/CurrencyPassiveSkillRefund.dds",48,""
8,4390,9,"Blessed Orb","Art/2DItems/Currency/CurrencyImplicitMod.dds",49,""
9,4390,10,"Vaal Orb","Art/2DItems/Currency/CurrencyVaal.dds",47,""
10,4390,11,"Orb of Annulment","Art/2DItems/Currency/AnnullOrb.dds",56,""
11,4390,12,"Exalted Orb","Art/2DItems/Currency/CurrencyAddModToRare.dds",51,""
12,4390,13,"Divine Orb","Art/2DItems/Currency/CurrencyModValues.dds",52,""
13,4390,14,"Mirror of Kalandra","Art/2DItems/Currency/CurrencyDuplicate.dds",54,""
14,4484,1,"Fire","",60,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolFire"
15,4484,2,"Cold","",60,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolCold"
16,4484,3,"Lightning","",60,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolLightning"
17,4484,4,"Shifting","",60,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolShifting"
18,4507,1,"Fire","",60,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolFire"
19,4507,2,"Cold","",60,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolCold"
20,4507,3,"Lightning","",60,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolLightning"
21,4507,4,"Shifting","",60,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolShifting"
22,4544,1,"Base","",60,""
23,4544,2,"Flair","",60,""
24,4544,3,"Lotus Blood","",60,""
25,4544,4,"Body Flowers","",60,""
26,4544,5,"Shadows","",60,""
27,4542,1,"Base","",60,""
28,4542,2,"Footprints","",60,""
29,4543,1,"Base","",60,""
30,4543,2,"Flair","",60,""
31,4543,3,"Lotus on Kill","",60,""
32,4541,1,"Flower","",60,""
33,4541,2,"Hat","",60,""
34,4541,3,"Full Head","",60,""
35,4541,4,"Lotus Life","",60,""
36,4520,1,"No on Kill","",60,""
37,4520,2,"On Kill","",60,""
38,4763,1,"Metal","",60,""
39,4763,2,"Cloth","",60,""
