"rownum","Id","MonsterVarieties","i32","bool","i32","i32","bool","bool","bool"
0,"FireMeteor",[8709],999,"",4000,4000,"","",1
1,"FireMeteorUber",[8710],999,"",4000,4000,"","",1
2,"ColdRotatingBeam",[8711],1,"",800,0,1,"",""
3,"ColdRotatingBeamUber",[8712],1,"",800,0,1,"",""
4,"ChaosSoulrendPortal",[8713],999,"",6000,6000,"","",1
5,"ChaosSoulrendPortalUber",[8714],999,"",6000,6000,"","",1
6,"LightningPylon",[8715],16,"",50,0,"",1,""
7,"LightningPylonUber",[8716],16,"",50,0,"",1,""
8,"Necromantic1","[3726,3727,3728,3729,3730,3731,3732,3733,3734,3735,3736,3737,3740,3741,3742,3743,3744,3745,3746,3747]",4,1,6000,0,"","",1
9,"Necromantic2","[3726,3727,3728,3729,3730,3731,3732,3733,3734,3735,3736,3737,3740,3741,3742,3743,3744,3745,3746,3747]",5,1,5000,0,"","",1
10,"Necromantic3","[3726,3727,3728,3729,3730,3731,3732,3733,3734,3735,3736,3737,3739,3740,3741,3742,3743,3744,3745,3746,3747]",6,1,4000,0,"","",1
11,"Necromantic4","[3726,3727,3728,3729,3730,3731,3732,3733,3734,3735,3736,3737,3739,3740,3741,3742,3743,3744,3745,3746,3747]",7,1,3000,0,"","",1
12,"Vaal",[8717],1,"",800,0,1,"",""
13,"Golden",[8718],999,"",4000,0,"","",1
14,"PhysicalBleed",[8720],999,"",8000,0,"","",1
15,"PhysicalBleedUber",[8721],4,"",5000,0,"",1,1
16,"ChaosGreenVines",[8727],1,"",800,0,1,"",""
17,"GenericLifeQuicksand",[8724],999,"",2000,2000,"","",1
18,"GenericCharges",[8722],1,"",300,0,1,"",""
19,"GenericMassive",[8723],1,"",300,0,1,"",""
20,"GenericSpeed",[8719],1,"",300,0,1,"",""
21,"GenericFortify",[8725],999,"",5000,0,"","",1
22,"GenericEnergyShield",[8726],1,"",300,0,1,"",""
23,"UltimatumChaosCloud1",[8894],1,"",1000,0,"","",""
24,"UltimatumChaosCloud2",[8895],1,"",1000,0,"","",""
25,"UltimatumChaosCloud3",[8896],1,"",1000,0,"","",""
26,"UltimatumChaosCloud4",[8897],1,"",1000,0,"","",""
27,"UltimatumLightningRune1",[8898],3,"",50,0,"",1,1
28,"UltimatumLightningRune2",[8899],3,"",50,0,"",1,1
29,"UltimatumLightningRune3",[8899],5,"",50,0,"",1,1
30,"UltimatumLightningRune4",[8900],5,"",50,0,"",1,1
31,"UltimatumLightningRune1Trial",[8898],3,"",50,0,"","",""
32,"UltimatumLightningRune2Trial",[8899],3,"",50,0,"","",""
33,"UltimatumFlameSpitter1",[8929],2,"",50,0,"",1,1
34,"UltimatumFlameSpitter2",[8929],4,"",50,0,"",1,1
35,"UltimatumFlameSpitter3",[8930],4,"",50,0,"",1,1
36,"UltimatumFlameSpitter4",[8931],4,"",50,0,"",1,1
37,"UltimatumFlameSpitter1Trial",[8929],1,"",0,0,"",1,1
38,"UltimatumFlameSpitter2Trial",[8929],2,"",50,0,"",1,1
39,"UltimatumFlameSpitter3Trial",[8930],2,"",50,0,"",1,1
40,"UltimatumFlameSpitter4Trial",[8931],2,"",50,0,"",1,1
41,"UltimatumFrostInfection1",[8908],1,"",0,0,1,"",""
42,"UltimatumFrostInfection2",[8909],1,"",0,0,1,"",""
43,"UltimatumFrostInfection3",[8910],1,"",0,0,1,"",""
44,"UltimatumFrostInfection4",[8911],1,"",0,0,1,"",""
45,"UltimatumGraveyard1",[8926],2,"",50,0,"",1,1
46,"UltimatumGraveyard2",[8926],4,"",50,0,"",1,1
47,"UltimatumGraveyard3",[8927],4,"",50,0,"",1,1
48,"UltimatumGraveyard4",[8928],4,"",50,0,"",1,1
49,"UltimatumGraveyard1Trial",[8926],1,"",0,0,"",1,1
50,"UltimatumGraveyard2Trial",[8926],2,"",50,0,"",1,1
51,"UltimatumGraveyard3Trial",[8927],2,"",50,0,"",1,1
52,"UltimatumGraveyard4Trial",[8928],2,"",50,0,"",1,1
53,"UltimatumRevenant1",[8914],1,"",0,0,"",1,1
54,"UltimatumRevenant2",[8915],1,"",0,0,"",1,1
55,"UltimatumRevenant3",[8916],1,"",0,0,"",1,1
56,"UltimatumRevenant4",[8917],1,"",0,0,"",1,1
57,"UltimatumSawblade1",[8918],1,"",0,0,1,"",""
58,"UltimatumSawblade2",[8919],1,"",0,0,1,"",""
59,"UltimatumSawblade3",[8920],1,"",0,0,1,"",""
60,"UltimatumSawblade4",[8921],1,"",0,0,1,"",""
61,"UltimatumTotemPhys",[8933],1,"",0,0,"",1,1
62,"UltimatumTotemEle",[8934],1,"",0,0,"",1,1
63,"UltimatumAltarDaemon1",[8935],1,"",1000,0,1,1,""
64,"UltimatumAltarDaemon2",[8936],1,"",1000,0,1,1,""
