"rownum","rid","[rid]"
0,326,"[2086,2087,2088,2089]"
1,327,"[2090,2091,2092]"
2,328,"[2093,2094,2095,2096]"
3,329,"[2097,2098,2099]"
4,330,"[2100,2101,2102]"
5,331,"[2103,2104]"
6,332,"[2105,2106]"
7,333,"[2107,2108]"
8,334,[2109]
9,335,[2110]
10,336,"[2111,2112]"
11,337,"[2113,2114]"
12,338,"[2115,2116,2117]"
13,339,"[2118,2119,2120]"
14,340,"[2121,2122]"
15,341,"[2123,2124]"
16,342,"[2125,2126]"
17,343,[2127]
18,344,"[2128,2129,2130,2131]"
19,345,"[2132,2133]"
20,346,"[2134,2135,2136]"
21,349,"[745,746,747,748,749,750,756,757,758,759,760,781,782,794,795,796,797,934,1001,1002,924,925,926,927,938,940,942,943,944,959,960,961]"
