"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,9644,111,"Essence Item",52571,[]
1,9645,131,"Currency Item",52259,[]
2,9646,151,"Unique Item",18701,[]
3,9647,121,"Map Item",22038,[]
4,9648,251,"Unique Map Item",6696,[]
5,9649,301,"Rare Abyss Item",41772,[]
6,9650,301,"Fragment Item",60390,[]
7,9651,301,"Scarab Item",32186,[]
8,9652,151,"Essence Item",23218,[]
9,9653,301,"Fossil Item",19642,[]
10,9654,221,"Expedition Item",40101,[]
11,9655,151,"Stacked Decks",34745,[]
12,9656,151,"Talisman Item",43064,[]
13,9657,161,"Labyrinth Item",19352,[]
14,9658,1001,"6-Linked Armour Item",6078,[]
15,9659,141,"Currency Item",14134,[]
16,9660,1501,"League-specific Unique Item",4526,[]
17,9661,501,"Shaper or Elder Armour Item",61377,[]
18,9662,501,"Shaper or Elder Weapon Item",53204,[]
19,9663,701,"Shaper or Elder Trinket Item",61894,[]
20,9664,501,"Elder Map Item",39336,[]
21,9665,351,"Breach Item",43164,[]
22,9666,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,9667,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,9668,301,"Item",31223,[]
25,9669,121,"Quality Gem",16288,[]
26,9670,151,"Bestiary Item",28161,[]
27,9671,221,"Blight Item",19373,[]
28,9672,221,"Ultimatum Item",62324,[]
29,9673,431,"Delirium Item",23535,[]
30,9674,111,"Essence Item",46750,[]
31,9675,131,"Currency Item",54300,[]
32,9676,151,"Unique Item",59184,[]
33,9677,121,"Map Item",43361,[]
34,9678,251,"Unique Map Item",37492,[]
35,9679,301,"Rare Abyss Item",2531,[]
36,9680,301,"Fragment Item",4173,[]
37,9681,301,"Scarab Item",25303,[]
38,9682,151,"Essence Item",31454,[]
39,9683,301,"Fossil Item",51101,[]
40,9684,221,"Expedition Item",41074,[]
41,9685,151,"Stacked Decks",47490,[]
42,9686,151,"Talisman Item",23793,[]
43,9687,161,"Labyrinth Item",42868,[]
44,9688,1001,"6-Linked Armour Item",12755,[]
45,9689,141,"Currency Item",30048,[]
46,9690,1501,"League-specific Unique Item",32094,[]
47,9691,501,"Shaper or Elder Armour Item",38195,[]
48,9692,501,"Shaper or Elder Weapon Item",28068,[]
49,9693,701,"Shaper or Elder Trinket Item",52048,[]
50,9694,501,"Elder Map Item",56725,[]
51,9695,351,"Breach Item",39939,[]
52,9696,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,9697,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,9698,301,"Item",55071,[]
55,9699,121,"Quality Gem",43471,[]
56,9700,151,"Bestiary Item",58563,[]
57,9701,221,"Blight Item",24651,[]
58,9702,221,"Ultimatum Item",65346,[]
59,9703,431,"Delirium Item",12740,[]
