"rownum","WorldAreasKey","Connections"
0,1,[1]
1,2,"[0,0,2]"
2,3,[1]
3,4,"[1,0,4]"
4,5,[3]
5,6,[6]
6,7,"[5,0,7]"
7,8,"[6,0]"
8,9,"[7,0]"
9,10,"[8,0]"
10,11,"[9,0,11]"
11,12,"[10,0,12]"
12,13,[11]
13,14,"[11,0]"
14,18,"[13,0,15]"
15,19,"[14,0,16,0]"
16,20,[15]
17,21,"[15,0,19,0]"
18,22,[29]
19,23,[17]
20,24,[17]
21,25,"[14,0,15,0]"
22,26,"[25,0,28]"
23,27,"[10,0,21]"
24,28,[23]
25,29,"[22,0]"
26,30,"[21,0]"
27,31,[22]
28,32,"[22,0]"
29,33,"[17,0]"
30,35,"[28,0]"
31,36,"[30,0,32]"
32,37,[31]
33,38,"[38,0,34]"
34,39,[33]
35,40,"[33,0,36]"
36,41,[35]
37,43,[35]
38,44,[38]
39,45,"[38,0,40]"
40,46,[39]
41,47,"[39,0,42]"
42,48,[41]
43,49,"[41,0]"
44,51,"[43,0,45]"
45,52,"[44,0]"
46,53,"[44,0,45]"
47,54,[46]
