"rownum","TaggedStat","rid","[rid]","rid","rid"
0,15470,24,[],"",""
1,15471,8541,[],"",""
2,15570,"",[476],"",""
3,15577,"",[479],"",""
4,15589,"",[],1,""
5,15590,"",[],2,""
6,15591,"",[],4,""
7,15592,"",[],12,""
8,15593,"",[],9,""
9,15594,"",[],10,""
10,15595,"",[],24,""
11,15652,11,[],"",""
12,15653,10,[],"",""
13,15654,15587,[],"",""
14,15655,1710,[],"",""
15,15656,7221,[],"",""
16,15576,"",[],"",1
17,15582,"",[],"",8
18,15583,"",[],"",2
19,15619,"",[],"",3
20,15620,"",[],"",4
21,15621,"",[],"",5
22,15622,"",[],"",6
23,15623,"",[],"",7
24,15624,"",[],"",9
25,15625,"",[],"",10
26,15626,"",[],"",12
27,15627,"",[],"",13
28,15628,"",[],"",14
29,15629,"",[],"",15
30,15630,"",[],"",16
31,15631,"",[],"",17
32,15632,"",[],"",18
33,15633,"",[],"",19
34,15634,"",[],"",20
35,15635,"",[],"",21
36,15636,"",[],"",22
37,15637,"",[],"",23
38,15638,"",[],"",24
39,15739,2324,[],"",""
