"rownum","Id","MonsterVarietiesKey","i32","rid","bool","bool","i32","i32","bool","rid","rid","i32","bool","i32","string","bool","bool","i32"
0,563,558,153,"","",1,0,0,"","","",0,1,0,"voidzone",1,1,0
1,564,535,153,"","",1,0,0,"","","",0,"",0,"","",1,0
2,567,"",121,"",1,1,0,0,1,"","",0,1,0,"temp_minion",1,1,0
3,572,564,153,"","",1,0,8,1,"","",0,"",0,"my_laser","",1,0
4,573,527,153,"","",1,0,0,1,"","",0,1,0,"","",1,0
5,576,1786,153,"","","",0,0,"","","",0,"",0,"","",1,0
6,577,643,153,"",1,1,0,0,"","","",0,"",0,"","",1,0
7,578,140,153,"","",1,0,0,1,"","",0,1,15,"","",1,0
8,580,141,153,"","",1,0,0,1,"","",0,1,10,"","",1,0
9,581,142,153,"","",1,0,0,1,"","",0,1,15,"","",1,0
10,582,139,153,"","",1,0,0,1,"","",0,1,15,"","",1,0
11,583,144,153,"","",1,0,0,1,"","",0,1,10,"","",1,0
12,584,145,153,"","",1,0,0,1,"","",0,1,10,"","",1,0
13,585,146,153,"","",1,0,0,1,"","",0,1,10,"","",1,0
14,586,148,153,"","",1,0,0,1,"","",0,1,10,"","",1,0
15,587,138,153,"","",1,0,0,1,"","",0,1,10,"","",1,0
16,588,143,153,"","",1,0,0,1,"","",0,1,15,"","",1,0
17,592,644,153,"","",1,0,0,1,"","",0,1,15,"","",1,0
18,593,129,153,"",1,1,0,0,"","","",0,"",0,"","",1,0
19,594,130,153,"",1,1,0,0,"","","",0,"",0,"","",1,0
20,595,128,153,"",1,1,0,0,"","","",0,"",0,"","",1,0
21,596,127,153,"",1,1,0,0,"","","",0,"",0,"","",1,0
22,597,126,153,"",1,1,0,0,"","","",0,"",0,"","",1,0
23,599,645,153,"",1,1,0,0,"","","",0,"",0,"voodoo_doll","",1,0
24,600,647,153,"",1,1,0,0,1,"","",0,1,0,"crystals",1,1,0
25,601,136,153,"",1,1,0,0,"","","",0,"",0,"","",1,0
26,609,642,153,"",1,"",0,0,"","","",0,"",0,"","",1,0
27,612,30,153,"","",1,0,0,"","","",0,"",0,"","",1,0
28,1000,347,153,"","",1,0,0,"","","",0,"",0,"","",1,0
