"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","ShowIfEmpty","SlotGroup","string","i32","i32","i32"
0,"Metadata/Items/Currency/CurrencyUpgradeToMagic",11,259,80,0,1,1,1,0,"radeToMagic",0,0,0
1,"Metadata/Items/Currency/CurrencyAddModToMagic",16,344,80,1,1,1,1,0,"radeToMagic",0,0,0
2,"Metadata/Items/Currency/CurrencyUpgradeToRare",7,429,80,2,1,1,1,0,"radeToMagic",0,0,0
3,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",15,514,80,3,1,1,1,0,"radeToMagic",0,0,0
4,"Metadata/Items/Currency/CurrencyRerollRare",3,599,80,4,1,1,1,0,"radeToMagic",0,0,0
5,"Metadata/Items/Currency/CurrencyCorrupt",38,259,170,5,1,1,1,0,"radeToMagic",0,0,0
6,"Metadata/Items/Currency/CurrencyAddModToRare",14,344,170,6,1,1,1,0,"radeToMagic",0,0,0
7,"Metadata/Items/Currency/CurrencyModValues",26,429,170,7,1,1,1,0,"radeToMagic",0,0,0
8,"Metadata/Items/Currency/CurrencyRemoveMod",102,514,170,8,1,1,1,0,"radeToMagic",0,0,0
9,"Metadata/Items/Currency/CurrencyUpgradeRandomly",8,599,170,9,1,1,1,0,"radeToMagic",0,0,0
10,"Metadata/Items/Currency/CurrencyDuplicate",6,429,260,10,1,1,1,0,"radeToMagic",0,0,0
11,"Metadata/Items/Currency/CurrencyMagicQuality",1,119,375,11,1,1,1,0,"radeToMagic",0,0,0
12,"Metadata/Items/Currency/CurrencyArmourQuality",5,204,375,12,1,1,1,0,"radeToMagic",0,0,0
13,"Metadata/Items/Currency/CurrencyWeaponQuality",0,289,375,13,1,1,1,0,"radeToMagic",0,0,0
14,"Metadata/Items/Currency/CurrencyIdentification",2,247,465,14,1,1,1,0,"radeToMagic",0,0,0
15,"Metadata/Items/Currency/CurrencyAddEquipmentSocket",25,162,465,15,1,1,1,0,"radeToMagic",0,0,0
16,"Metadata/Items/Currency/CurrencyAddSkillGemSocket3",22,569,375,16,1,1,1,0,"radeToMagic",0,0,0
17,"Metadata/Items/Currency/CurrencyAddSkillGemSocket4",23,654,375,17,1,1,1,0,"radeToMagic",0,0,0
18,"Metadata/Items/Currency/CurrencyAddSkillGemSocket5",24,739,375,18,1,1,1,0,"radeToMagic",0,0,0
19,"Metadata/Items/Currency/CurrencyGemQuality",19,611,465,19,1,1,1,0,"radeToMagic",0,0,0
20,"Metadata/Items/Currency/CurrencyFlaskQuality",18,696,465,20,1,1,1,0,"radeToMagic",0,0,0
21,"Metadata/Items/Currency/CurrencyAddEquipmentSocketShard",121,298,620,21,1,1,1,0,"radeToMagic",0,0,0
22,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",31,383,620,22,1,1,1,0,"radeToMagic",0,0,0
23,"Metadata/Items/Currency/CurrencyUpgradeMagicToRareShard",119,468,620,23,1,1,1,0,"radeToMagic",0,0,0
24,"Metadata/Items/Currency/CurrencyUpgradeRandomlyShard",34,553,620,24,1,1,1,0,"radeToMagic",0,0,0
25,"CraftingSlot","",407,360,25,2,4,1,2,"爀攀渀挀礀唀瀀最爀愀搀攀吀漀䴀愀最椀挀",0,0,0
26,"Generic1","",171,710,27,1,1,1,2,"radeToMagic",0,0,0
27,"Generic2","",255,710,28,1,1,1,2,"radeToMagic",0,0,0
28,"Generic3","",340,710,29,1,1,1,2,"radeToMagic",0,0,0
29,"Generic4","",426,710,30,1,1,1,2,"radeToMagic",0,0,0
30,"Generic5","",511,710,31,1,1,1,2,"radeToMagic",0,0,0
31,"Generic6","",596,710,32,1,1,1,2,"radeToMagic",0,0,0
32,"Generic7","",683,710,33,1,1,1,2,"radeToMagic",0,0,0
33,"Generic8","",168,800,34,1,1,1,2,"radeToMagic",0,0,0
34,"Generic9","",254,800,35,1,1,1,2,"radeToMagic",0,0,0
35,"Generic10","",340,800,36,1,1,1,2,"radeToMagic",0,0,0
36,"Generic11","",426,800,37,1,1,1,2,"radeToMagic",0,0,0
37,"Generic12","",511,800,38,1,1,1,2,"radeToMagic",0,0,0
38,"Generic13","",596,800,39,1,1,1,2,"radeToMagic",0,0,0
39,"Generic14","",683,800,40,1,1,1,2,"radeToMagic",0,0,0
