"rownum","Area","PosX","PosY","Tags","[i32]","bool","TextAudio","CompletionAchievements"
0,0,0,0,[736],[1],"",11921,[]
1,1729,981,797,"[723,737]","[1,3]","",11912,"[8144,8315]"
2,1730,1078,700,"[722,737]","[1,3]","",11911,"[8145,8315]"
3,1731,962,587,"[723,737]","[1,3]","",11912,"[8146,8315]"
4,1732,1273,421,"[724,737]","[1,3]","",11912,"[8147,8315]"
5,1733,1181,611,"[729,737]","[1,3]","",11914,"[8148,8315]"
6,1734,1248,862,"[719,737]","[1,3]","",11913,"[8149,8315]"
7,1735,1020,314,"[725,737]","[1,3]","",11912,"[8150,8315]"
8,1736,857,259,"[726,737]","[1,3]","",11912,"[8151,8315]"
9,1737,938,198,"[727,737]","[1,3]","",11909,"[8152,8315]"
10,1738,1093,501,"[730,737]","[1,3]","",11915,"[8153,8315]"
11,1741,1282,212,"[728,737]","[1,3]","",11909,"[8156,8315]"
12,1739,1132,310,"[720,737]","[1,3]",1,11910,"[8154,8315]"
13,1740,1209,333,"[720,737]","[1,3]",1,11910,"[8155,8315]"
14,1742,1397,229,"[731,737]","[1,3]","",11916,"[8157,8315]"
15,1743,868,922,"[722,737]","[1,3]","",11911,"[8158,8315]"
