"rownum","BaseItemTypesKey","Id","AOFile","MapAOFile","f32","MiscObject","PortalEffect","f32","string","PortalEffectLarge","i32","i32"
0,488,1,"Metadata/Effects/Microtransactions/Town_Portals/supporter_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_01/rig_map.ao",1,"","",1,"","",0,0
1,495,2,"Metadata/Effects/Microtransactions/Town_Portals/supporter_02/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_02/rig_map.ao",1,"","",1,"","",0,0
2,496,3,"Metadata/Effects/Microtransactions/Town_Portals/supporter_03/supporter_portal_03.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_03/supporter_portal_03_map.ao",1,"","",1,"","",0,0
3,497,4,"Metadata/Effects/Microtransactions/Town_Portals/supporter_04/supporter_04.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_04/supporter_04_map.ao",1,"","",1,"","",0,0
4,498,5,"Metadata/Effects/Microtransactions/Town_Portals/supporter_05/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_05/rig_map.ao",1,"","",1,"","",0,0
5,494,6,"Metadata/Effects/Microtransactions/Town_Portals/black_hole/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/black_hole/rig_map.ao",1,"","",1,"","",0,0
6,489,7,"Metadata/Effects/Microtransactions/Town_Portals/supporter_red_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_red_01/rig_map.ao",1,"","",1,"","",0,0
7,490,8,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_01/rig_map.ao",1,"","",1,"","",0,0
8,491,9,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_04/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_04/rig_map.ao",1,"","",1,"","",0,0
9,492,10,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_02/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_02/rig_map.ao",1,"","",1,"","",0,0
10,623,11,"Metadata/Effects/Microtransactions/Town_Portals/arctic_portal/arctic_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/arctic_portal/arctic_portal_map.ao",1,"","",1,"","",0,0
11,687,12,"Metadata/Effects/Microtransactions/Town_Portals/sovereign_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/sovereign_portal/rig_map.ao",1,"","",1,"","",0,0
12,688,13,"Metadata/Effects/Microtransactions/Town_Portals/ascendant_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/ascendant_portal/rig_map.ao",1,"","",1,"","",0,0
13,685,14,"Metadata/Effects/Microtransactions/Town_Portals/aspirant_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/aspirant_portal/rig_map.ao",1,"","",1,"","",0,0
14,686,15,"Metadata/Effects/Microtransactions/Town_Portals/challenger_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/challenger_portal/rig_map.ao",1,"","",1,"","",0,0
15,704,16,"Metadata/Effects/Microtransactions/Town_Portals/malachai_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/malachai_portal/rig_map.ao",1,"","",1,"","",0,0
