"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","i32","i32","i32","rid","i32","bool","rid"
0,169,[171],1252,1,2626,2626,112,108,45,"",""
1,326,"[340,325]",1253,2,2626,2626,606,110,45,"",""
2,338,"[24,226,337]",1249,3,2626,243,1211,11,45,1,""
3,333,"[328,331]",1254,4,2626,2626,68,111,45,"",76
4,336,[334],1255,5,2626,2626,592,118,45,"",87
5,392,"[390,391]",1256,13,2626,2626,372,122,45,"",""
6,396,[393],1257,14,2626,2626,660,123,45,"",""
7,407,[405],1258,15,2626,2626,353,106,45,"",15
8,506,[506],1259,21,2626,2626,1092,"",45,1,""
9,515,[507],1260,22,2626,2626,1093,"",45,1,""
10,516,[508],1261,23,2626,2626,1094,"",45,1,""
11,517,[509],1262,24,2626,2626,1095,"",45,1,""
12,525,"[523,524]",1263,26,2626,2626,1155,"",41,1,""
13,527,"[189,295,310,311]",1264,0,2626,2626,1163,73,45,1,""
