"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6711],"",[],[],[]
1,"DropVaalItem",[],"",[],[2523],[50]
2,"AlwaysIgnite",[],"",[],"[4995,611]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1228],[100]
4,"Maimed",[],494,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4994,659]","[1,100]"
6,"TormentedExperimenterPossess","[8509,8600,8685,8687,8727]","",[],[],[]
7,"TormentedBlasphemerPossess","[8512,8598,8685,8687,8727]","",[],[],[]
8,"TormentedNecromancerPossess","[8515,8600,8685,8687,8727]","",[],[],[]
9,"TormentedArsonistPossess","[8518,8600,8685,8687,8727]","",[],[],[]
10,"TormentedThiefPossess","[8547,8601,8685,8687,8727]","",[],[],[]
11,"TormentedMutilatorPossess","[8560,8600,8685,8687,8727]","",[],[],[]
12,"TormentedCharlatanPossess","[8528,8600,8685,8687,8727]","",[],[],[]
13,"TormentedCannibalPossess","[8553,8600,8685,8687,8727]","",[],[],[]
14,"TormentedPoisonerPossess","[8521,8600,8685,8687,8727]","",[],[],[]
15,"TormentedCorrupterPossess","[8524,8601,8685,8687,8727]","",[],[],[]
16,"TormentedThugPossess","[8531,8598,8685,8687,8727]","",[],[],[]
17,"TormentedRoguePossess","[8534,8598,8535,8685,8687,8727]","",[],[],[]
18,"TormentedFishermanPossess","[8537,8601,8685,8687,8727]","",[],[],[]
19,"TormentedLibrarianPossess","[8540,8601,8685,8687,8727]","",[],[],[]
20,"TormentedCutthroatPossess","[8544,8598,8685,8687,8727]","",[],[],[]
21,"TormentedSpyPossess","[8550,8598,8685,8687,8727]","",[],[],[]
22,"TormentedMartyrPossess","[8557,8600,8685,8687,8727]","",[],[],[]
23,"TormentedEmbezzlerPossess","[8563,8601,8685,8687,8727]","",[],[],[]
24,"TormentedCounterfeiterPossess","[8569,8600,8685,8687,8727]","",[],[],[]
25,"TormentedWarlordPossess","[8572,8598,8685,8687,8727]","",[],[],[]
26,"TormentedFreezerPossess","[8576,8600,8685,8687,8727]","",[],[],[]
27,"TormentedSmugglerPossess","[8580,8578,8601,8685,8687,8727]","",[],[],[]
