"rownum","WorldAreasKey","Connections"
0,825,"[1,0]"
1,827,"[2,0,8]"
2,828,"[9,0]"
3,829,[10]
4,830,[11]
5,831,[12]
6,833,[13]
7,834,"[14,0]"
8,835,"[15,0]"
9,836,"[16,0]"
10,837,"[17,0,3]"
11,839,"[18,0]"
12,840,"[19,0]"
13,841,"[20,0]"
14,842,"[21,0]"
15,843,"[22,0]"
16,844,"[23,0,86,0]"
17,846,"[24,0,10]"
18,848,"[25,0]"
19,849,"[26,0]"
20,850,"[27,0]"
21,851,"[28,0]"
22,852,"[29,0,15]"
23,854,"[30,0]"
24,855,"[31,0]"
25,856,"[32,0]"
26,857,"[33,0]"
27,859,"[28,0]"
28,860,"[34,0,21]"
29,862,"[35,0]"
30,863,"[36,0]"
31,864,"[37,0]"
32,865,"[38,0]"
33,866,"[39,0]"
34,867,"[40,0,28]"
35,869,"[41,0]"
36,870,"[42,0,30]"
37,872,"[43,0]"
38,873,"[44,0]"
39,875,"[40,0,33]"
40,877,"[45,0,34,0]"
41,879,"[46,0,63]"
42,880,"[47,0]"
43,881,"[48,0,69]"
44,882,"[49,0]"
45,883,"[50,0]"
46,884,"[51,0]"
47,885,"[52,0]"
48,886,"[53,0]"
49,887,"[54,0]"
50,888,"[55,0]"
51,889,"[56,0]"
52,890,"[57,0]"
53,891,"[58,0]"
54,892,"[55,0]"
55,893,"[59,0,50]"
56,895,"[57,0,60]"
57,896,"[61,0,52]"
58,897,"[62,0]"
59,900,"[63,0]"
60,901,"[64,0]"
61,902,"[65,0]"
62,903,"[66,0]"
63,904,"[67,0,41]"
64,905,"[68,0]"
65,906,"[69,0]"
66,907,"[70,0]"
67,908,"[71,0]"
68,909,"[72,0]"
69,911,"[73,0,43]"
70,912,"[71,0]"
71,913,"[75,0,67]"
72,914,"[76,0]"
73,916,"[77,0]"
74,917,[75]
75,919,"[71,0]"
76,920,[72]
77,921,[73]
78,838,[10]
79,845,[16]
80,847,[17]
81,853,[22]
82,868,[34]
83,871,[36]
84,876,[39]
85,878,[40]
86,745,"[87,0]"
87,746,[86]
