"rownum","Id","rid","rid","rid","i32","bool","bool","bool","bool","i32","i32","i32","bool","i32","bool","bool","rid","i32","f32","f32","f32","bool","rid","string"
0,0,118,20,451,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
1,1,128,20,510,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
2,2,129,20,515,0,"","","","",10,15,0,"",4,"","","",0,1,1,1,1,"",""
3,3,137,20,551,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
4,4,144,20,574,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
5,5,128,20,510,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
6,6,184,20,765,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
7,7,216,20,1009,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
8,8,283,20,1230,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
9,9,302,20,1362,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
10,10,308,31,1387,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
11,11,130,31,515,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
12,12,342,20,1520,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
13,13,349,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
14,14,350,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
15,15,368,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
16,16,368,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
17,17,372,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
18,18,384,24,1717,0,"","","",1,0,15,0,"",4,"","","",0,1,1,1,1,"",""
19,19,390,31,1725,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
20,20,369,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
21,21,370,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
22,22,392,20,1744,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
23,23,399,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
24,24,399,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
25,25,405,20,1790,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
26,26,406,20,1791,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
27,27,396,20,1768,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
28,28,373,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
29,29,393,20,1744,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
30,30,425,31,1865,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
