"rownum","TaggedStat","rid","[rid]","rid","rid"
0,15950,24,[],"",""
1,15951,9027,[],"",""
2,16057,"",[438],"",""
3,16064,"",[441],"",""
4,16076,"",[],1,""
5,16077,"",[],2,""
6,16078,"",[],4,""
7,16079,"",[],12,""
8,16080,"",[],9,""
9,16081,"",[],10,""
10,16082,"",[],24,""
11,16139,11,[],"",""
12,16140,10,[],"",""
13,16141,16074,[],"",""
14,16142,1750,[],"",""
15,16143,7645,[],"",""
16,16063,"",[],"",1
17,16069,"",[],"",8
18,16070,"",[],"",2
19,16106,"",[],"",3
20,16107,"",[],"",4
21,16108,"",[],"",5
22,16109,"",[],"",6
23,16110,"",[],"",7
24,16111,"",[],"",9
25,16112,"",[],"",10
26,16113,"",[],"",12
27,16114,"",[],"",13
28,16115,"",[],"",14
29,16116,"",[],"",15
30,16117,"",[],"",16
31,16118,"",[],"",17
32,16119,"",[],"",18
33,16120,"",[],"",19
34,16121,"",[],"",20
35,16122,"",[],"",21
36,16123,"",[],"",22
37,16124,"",[],"",23
38,16125,"",[],"",24
39,16227,2399,[],"",""
