"rownum","Id","StatsKey","FormatText","i32"
0,"Mana",11722,"{0} Mana",1
1,"Life",13985,"{0} Life",1
2,"ES",14844,"{0} Energy Shield",1
3,"Rage",14022,"{0} Rage",1
4,"ManaPercent",13984,"{0}% Mana",1
5,"LifePercent",13986,"{0}% Life",1
6,"UnreservedManaPercent",14253,"[DNT] {0}% Unreserved Mana ",1
7,"ManaPerMinute",14674,"{0} Mana per second",60
8,"LifePerMinute",14675,"{0} Life per second",60
9,"ManaPercentPerMinute",14678,"{0}% Mana per second",60
10,"LifePercentPerMinute",14679,"{0}% Life per second",60
11,"ESPerMinute",14756,"{0) Energy Shield per second",60
12,"ESPercentPerMinute",14757,"{0}% Energy Shield per second",60
